root	gloss_fil	pos	source
dungan		N	PALI:du’ngan
dungdung		noun-verb	Samson p269 [dictionary_explicit/high]
dunggit			Samson p269 [unknown/low]
dunggul			Samson p269 [dictionary_explicit/high]
dungis		N	PALI:dungi’s
dungisdn			Samson p269 [unknown/low]
dungo		noun-verb	Samson p269 [dictionary_explicit/high]
dungu		D	PALI:dungu’q
dungus		N	PALI:du’ngus
dungut			Samson p270 [unknown/low]
dunut		adjective	Samson p270 [unknown/low]
dupikal			Samson p270 [unknown/low]
dupilas			Samson p270 [unknown/low]
duplika		verb	Samson p270 [unknown/low]
dura		N	PALI:du’raq
duray		N	PALI:dura’y
durian			Kapampangan-English-Pilipino wordlist p28 [unknown/low]
duru		N	PALI:du’ruq
duruc			Samson p271 [dictionary_explicit/high]
durug		verb	Samson p271 [unknown/low]
durul		noun	Samson p271 [dictionary_explicit/high]
durun		N	PALI:duru’n
durung		N	PALI:duru’ng
durup			Samson p271 [dictionary_explicit/high]
duruplikan			Samson p270 [dictionary_explicit/high]
durut		N	PALI:du’rut
dusa		N	PALI:du’sa
dusing		D	PALI:dusi’ng
dusug			Mirikitani p915 [unknown/low]
dutung		N	PALI:du’tung
duwala		D	PALI:duwala’q
duwang		V	PALI:duwa’ng
duyan			Kapampangan-English-Pilipino wordlist p29 [unknown/low]
dwendi		N	PALI:dwe’ndi
dwi		N	PALI:dwi’q
dyakpat			Kapampangan-English-Pilipino wordlist p29 [unknown/low]
dyakston			Kapampangan-English-Pilipino wordlist p29 [unknown/low]
dyaryu			Mirikitani p916 [unknown/low]
dyes			Kapampangan-English-Pilipino wordlist p29 [unknown/low]
dyip			Kapampangan-English-Pilipino wordlist p29 [unknown/low]
e		Neg	PALI:e
ebun		N	PALI:e’bun
edad		N	PALI:eda’d
edema		noun	Samson p274 [unknown/low]
edision		noun	Samson p274 [unknown/low]
editor		noun	Samson p274 [unknown/low]
edukado		adjective	Samson p274 [unknown/low]
edukasion		noun	Samson p274 [unknown/low]
ee			Samson p274 [unknown/low]
ef		noun	Samson p274 [unknown/low]
efe		noun	Samson p274 [unknown/low]
efecto		noun	Samson p274 [unknown/low]
efectos			Samson p274 [unknown/low]
efisiensia		noun	Samson p274 [unknown/low]
efisiente			Samson p274 [unknown/low]
eganagana		D	PALI:e’gana:gana’
egipto		noun	Samson p274 [dictionary_explicit/high]
egyptian			Samson p274 [unknown/low]
ehe		noun	Samson p274 [unknown/low]
ehekusion		noun	Samson p275 [unknown/low]
ehekutivo		noun	Samson p275 [unknown/low]
ehemplar		noun	Samson p275 [unknown/low]
ehemplo		noun	Samson p275 [unknown/low]
ehersisio		noun	Samson p275 [dictionary_explicit/high]
ekilibrio		noun	Samson p275 [unknown/low]
ekis		noun	Samson p275 [unknown/low]
eklipsi		N	PALI:ekli’psi
eko			Kapampangan-English-Pilipino wordlist p29 [unknown/low]
elaborasion		noun	Samson p275 [unknown/low]
elastiko		noun	Samson p275 [unknown/low]
elatina		N	PALI:elati’na
elecsion		noun	Samson p275 [unknown/low]
electrisidad		noun	Samson p276 [unknown/low]
electronika		noun	Samson p276 [unknown/low]
elefante		noun	Samson p276 [unknown/low]
elegansia		noun	Samson p276 [unknown/low]
elegante		adjective	Samson p276 [unknown/low]
elementaria		adjective	Samson p276 [unknown/low]
elemento		noun	Samson p276 [unknown/low]
eliminasion		noun	Samson p276 [unknown/low]
elise			Samson p276 [unknown/low]
eliseo		noun	Samson p276 [unknown/low]
eljin		N	PALI:e’ljin
elohim			Samson p276 [unknown/low]
elokuente		adjective	Samson p276 [unknown/low]
elokusion		noun	Samson p276 [unknown/low]
elu		N	PALI:e’lu
ema		N	PALI:e’ma
embahada		noun	Samson p276 [unknown/low]
embalsamador			Samson p277 [unknown/low]
embalsamo		verb	Samson p277 [unknown/low]
embargo		noun	Samson p277 [unknown/low]
embarguan			Samson p277 [unknown/low]
embarkasion		noun	Samson p277 [unknown/low]
embeske			Samson p277 [unknown/low]
embestidura		noun	Samson p277 [unknown/low]
emblema		noun	Samson p277 [unknown/low]
embornal		noun	Samson p277 [dictionary_explicit/high]
embudo		noun	Samson p277 [unknown/low]
embutido		noun	Samson p277 [unknown/low]
emigrante		noun	Samson p277 [unknown/low]
emisario		noun	Samson p277 [unknown/low]
emosion		noun	Samson p277 [unknown/low]
emotional			Samson p277 [unknown/low]
empacho		noun	Samson p277 [dictionary_explicit/high]
empake		noun	Samson p277 [unknown/low]
empanada		noun	Samson p278 [dictionary_explicit/high]
empasis			Samson p278 [unknown/low]
empenio		noun	Samson p278 [dictionary_explicit/high]
emperador		noun	Samson p278 [unknown/low]
empire			Samson p278 [unknown/low]
emplasto		noun	Samson p278 [unknown/low]
emplastudn			Samson p278 [unknown/low]
empleado			Samson p278 [unknown/low]
empleo		noun	Samson p278 [unknown/low]
employee			Samson p278 [unknown/low]
emporio		noun	Samson p278 [unknown/low]
empresario		noun	Samson p278 [unknown/low]
emut		N	PALI:e’mut
enamorada			Samson p278 [unknown/low]
enano		noun	Samson p278 [dictionary_explicit/high]
endorso		noun	Samson p279 [dictionary_explicit/high]
enerhiya		noun	Samson p279 [unknown/low]
enero		noun	Samson p279 [unknown/low]
eneru		N	PALI:ene’ru
engganio			Samson p279 [dictionary_explicit/high]
enggaste		noun	Samson p279 [unknown/low]
engranahe		noun	Samson p279 [unknown/low]
engrande			Samson p279 [unknown/low]
enigma		noun	Samson p279 [unknown/low]
enkahe		noun	Samson p278 [unknown/low]
enkantado		adjective	Samson p278 [unknown/low]
enkantador			Samson p278 [unknown/low]
enkanto			Samson p278 [unknown/low]
enkargado		noun	Samson p278 [unknown/low]
enkargo		noun	Samson p278 [unknown/low]
enkarna		verb	Samson p278 [unknown/low]
enkarnasion		noun	Samson p278 [unknown/low]
enkuentro		noun	Samson p278 [unknown/low]
ensaimada		noun	Samson p279 [unknown/low]
ensalada		noun	Samson p279 [dictionary_explicit/high]
ensayo		noun	Samson p279 [unknown/low]
enselada			Mirikitani p916 [unknown/low]
entablado		noun	Samson p279 [unknown/low]
entendido		adjective	Samson p279 [unknown/low]
entero		adjective	Samson p279 [unknown/low]
entierro		noun	Samson p279 [unknown/low]
entonses		adverb	Samson p279 [unknown/low]
entrada		noun	Samson p279 [unknown/low]
entrega			Samson p280 [unknown/low]
entremetida			Samson p280 [unknown/low]
entresuelo		noun	Samson p280 [unknown/low]
epidemia		noun	Samson p280 [unknown/low]
epidemya		N	PALI:epide’mya
epifania		noun	Samson p280 [dictionary_explicit/high]
epika		noun	Samson p280 [unknown/low]
epilepsia		noun	Samson p280 [unknown/low]
epileptiko			Samson p280 [unknown/low]
epilogo		noun	Samson p280 [unknown/low]
episkopado		noun	Samson p280 [unknown/low]
episkopal		adjective	Samson p280 [unknown/low]
episodio		noun	Samson p280 [unknown/low]
epoka		noun	Samson p281 [unknown/low]
eran		N	PALI:e’ran
ere		noun	Samson p281 [unknown/low]
erecsion		noun	Samson p281 [unknown/low]
erehe			Samson p281 [dictionary_explicit/high]
erehia			Samson p281 [dictionary_explicit/high]
ermitanio		noun	Samson p281 [dictionary_explicit/high]
eroplano		noun	Samson p281 [unknown/low]
errata			Samson p281 [unknown/low]
erratum			Samson p281 [unknown/low]
error		noun	Samson p281 [unknown/low]
escriba		noun	Samson p282 [unknown/low]
escribiente		noun	Samson p282 [unknown/low]
escrima			Samson p282 [unknown/low]
escrimador			Samson p282 [unknown/low]
escritorio		noun	Samson p283 [unknown/low]
escritura		noun	Samson p283 [unknown/low]
escrupulo		noun	Samson p283 [unknown/low]
escrupulosidad			Samson p283 [unknown/low]
escrutinio		noun	Samson p283 [unknown/low]
esdras			Samson p283 [unknown/low]
ese		noun (OCR: printed as 'ft.')	Samson p283 [unknown/low]
esensia		noun	Samson p283 [unknown/low]
eskabeche		noun	Samson p281 [unknown/low]
eskala		noun	Samson p281 [unknown/low]
eskalado			Samson p281 [unknown/low]
eskalera		noun	Samson p282 [unknown/low]
eskalon		noun	Samson p281 [unknown/low]
eskandalo		noun	Samson p282 [unknown/low]
eskaparate		noun	Samson p282 [unknown/low]
eskapulario		noun	Samson p282 [unknown/low]
eskarlata		noun	Samson p282 [unknown/low]
eskayola		noun	Samson p282 [unknown/low]
eskilada		noun	Samson p283 [unknown/low]
eskjna		noun	Samson p283 [unknown/low]
eskoba		noun	Samson p282 [unknown/low]
eskolta		noun	Samson p282 [unknown/low]
eskombro		noun	Samson p282 [unknown/low]
eskomulgado		adjective	Samson p282 [unknown/low]
eskopeta		noun	Samson p282 [unknown/low]
eskorpion		noun	Samson p282 [unknown/low]
eskosia		noun	Samson p282 [unknown/low]
eskotada		adjective	Samson p282 [unknown/low]
eskuadron		noun	Samson p283 [unknown/low]
eskudero		noun	Samson p283 [unknown/low]
eskudo		noun	Samson p283 [unknown/low]
eskuela		noun	Samson p283 [unknown/low]
eskultor		noun	Samson p283 [unknown/low]
eskultura		noun	Samson p283 [unknown/low]
eskupeta		N	PALI:eskupe’ta
esmalte		noun	Samson p283 [unknown/low]
esmeralda		noun	Samson p283 [unknown/low]
esopago		noun	Samson p283 [unknown/low]
esopo		noun	Samson p283 [unknown/low]
espanya			Mirikitani p916 [unknown/low]
esperanza		noun	Samson p284 [unknown/low]
espesial		adjective	Samson p284 [unknown/low]
espesialidad		noun	Samson p284 [unknown/low]
espesialista		noun	Samson p284 [unknown/low]
espesialmente			Samson p284 [unknown/low]
espesie		noun	Samson p284 [unknown/low]
espespada		noun	Samson p284 [unknown/low]
espia			Samson p284 [unknown/low]
espiga		noun	Samson p285 [unknown/low]
espina		noun	Samson p285 [unknown/low]
espinghe		noun	Samson p285 [unknown/low]
espiral			Samson p285 [unknown/low]
espiritismo		noun	Samson p285 [unknown/low]
espiritista			Samson p285 [unknown/low]
espiritu			Samson p285 [unknown/low]
espiritual		adjective	Samson p285 [unknown/low]
espiritualidad		noun	Samson p286 [unknown/low]
espongha		noun	Samson p286 [unknown/low]
esposa			Samson p286 [unknown/low]
espuma		noun	Samson p286 [unknown/low]
estable		adjective	Samson p286 [unknown/low]
estadista		noun	Samson p286 [unknown/low]
estado		noun	Samson p286 [unknown/low]
estafa		noun	Samson p286 [unknown/low]
estafador		noun	Samson p286 [unknown/low]
estambre			Samson p286 [unknown/low]
estampa		noun	Samson p286 [unknown/low]
estampita		noun	Samson p286 [unknown/low]
estandarte		noun	Samson p286 [unknown/low]
estangko		noun	Samson p286 [unknown/low]
estaniador		noun	Samson p287 [unknown/low]
estanio		noun	Samson p287 [unknown/low]
estante		noun	Samson p287 [unknown/low]
estasion		noun	Samson p286 [unknown/low]
estatua		noun	Samson p287 [unknown/low]
este			Samson p287 [unknown/low]
estela		noun	Samson p287 [unknown/low]
ester		N	PALI:ester
esteril		adjective	Samson p287 [unknown/low]
esterilisa		verb	Samson p287 [unknown/low]
esterlina		noun	Samson p287 [unknown/low]
estilo		noun	Samson p287 [unknown/low]
estima			Samson p287 [unknown/low]
estividor		noun	Samson p287 [dictionary_explicit/high]
estola		noun	Samson p287 [unknown/low]
estopado		adjective	Samson p287 [unknown/low]
estorbo			Samson p287 [unknown/low]
estrada		noun	Samson p287 [unknown/low]
estratehia		noun	Samson p287 [dictionary_explicit/high]
estrelya		noun	Samson p287 [unknown/low]
estribo		noun	Samson p287 [unknown/low]
estricto		adjective	Samson p287 [unknown/low]
estrofa		noun	Samson p288 [unknown/low]
estuche		noun	Samson p288 [unknown/low]
estudiante		noun	Samson p288 [unknown/low]
estupido		adjective	Samson p288 [unknown/low]
esus		N	PALI:esu’s
eternidad		noun	Samson p288 [unknown/low]
etika		noun	Samson p288 [unknown/low]
etiketa			Samson p288 [unknown/low]
etikette			Samson p288 [unknown/low]
etnolohiya		noun	Samson p288 [unknown/low]
eucharistiko			Samson p288 [unknown/low]
eukaristia		noun	Samson p288 [dictionary_explicit/high]
eukaristiko		adjective	Samson p288 [unknown/low]
europa		noun	Samson p288 [unknown/low]
european			Samson p288 [unknown/low]
exacto		adjective	Samson p288 [unknown/low]
examin		verb	Samson p288 [dictionary_explicit/high]
examinador		noun	Samson p289 [unknown/low]
examinasion		noun	Samson p289 [unknown/low]
exclamasion		noun	Samson p289 [unknown/low]
exploit			Samson p290 [unknown/low]
explotasion		noun	Samson p290 [unknown/low]
exponente		noun	Samson p290 [unknown/low]
exselensia		noun	Samson p289 [unknown/low]
exselente		adjective	Samson p289 [unknown/low]
extension		noun	Samson p290 [unknown/low]
exterior		adjective	Samson p290 [unknown/low]
externa			Samson p290 [unknown/low]
extorsion		noun	Samson p290 [unknown/low]
extradision		noun	Samson p290 [unknown/low]
extraordinario		adjective	Samson p290 [unknown/low]
extravagante		adjective	Samson p290 [unknown/low]
extremaunsion			Samson p290 [unknown/low]
extrenaunsion		noun	Samson p290 [unknown/low]
eyata		adverb	Samson p290 [dictionary_explicit/high]
eyustakyu		N	PALI:eyustakyu
fabula		noun	Samson p291 [unknown/low]
fabuloso		adjective	Samson p291 [unknown/low]
facsion		noun	Samson p291 [unknown/low]
fakir		noun	Samson p292 [unknown/low]
falda		noun	Samson p292 [unknown/low]
faldistorio		noun	Samson p292 [unknown/low]
falia		noun	Samson p292 [unknown/low]
faliado		adjective	Samson p292 [unknown/low]
falio		noun	Samson p292 [unknown/low]
falkoneria		noun	Samson p292 [unknown/low]
false-hearted			Samson p292 [unknown/low]
falsetto		noun	Samson p292 [unknown/low]
falsifier			Samson p292 [unknown/low]
falsifika		verb	Samson p292 [unknown/low]
falsifikado			Samson p292 [unknown/low]
falsifikasion		noun	Samson p292 [unknown/low]
falsifying			Samson p292 [unknown/low]
falso		adjective	Samson p292 [unknown/low]
falta		noun	Samson p293 [unknown/low]
fama		noun	Samson p293 [unknown/low]
familia		noun	Samson p293 [unknown/low]
famoso		adjective	Samson p293 [unknown/low]
fanatiko		adjective	Samson p293 [unknown/low]
fanatisismo		noun	Samson p293 [unknown/low]
fandanggo		noun	Samson p293 [unknown/low]
fantasia		noun	Samson p293 [unknown/low]
fantasma		noun	Samson p293 [unknown/low]
fantastiko		adjective	Samson p293 [unknown/low]
farola		noun	Samson p294 [unknown/low]
fassikulo		noun	Samson p294 [unknown/low]
fastidio		noun	Samson p294 [unknown/low]
fatal		adjective	Samson p294 [unknown/low]
fatalismo		noun	Samson p294 [unknown/low]
fatiga		noun	Samson p294 [dictionary_explicit/high]
fatima		noun	Samson p294 [unknown/low]
fausto		adjective	Samson p294 [unknown/low]
favor		noun	Samson p294 [unknown/low]
favorable		adjective	Samson p294 [unknown/low]
favorito			Samson p294 [unknown/low]
febe			Samson p294 [unknown/low]
febo		noun	Samson p295 [unknown/low]
febrero		noun	Samson p295 [unknown/low]
fedayeen			Samson p295 [unknown/low]
federalismo		noun	Samson p295 [unknown/low]
federalista		noun	Samson p295 [unknown/low]
federasion		noun	Samson p295 [unknown/low]
fekundo		adjective	Samson p295 [unknown/low]
felisidad		noun	Samson p295 [unknown/low]
felisitasion		noun	Samson p295 [unknown/low]
feminism			Samson p295 [unknown/low]
feminismo		noun	Samson p295 [unknown/low]
feminista		noun	Samson p295 [unknown/low]
fenix		noun	Samson p295 [unknown/low]
fenomeno		noun	Samson p295 [unknown/low]
feo			Samson p295 [unknown/low]
feria		noun	Samson p295 [unknown/low]
fermentasion		noun	Samson p295 [unknown/low]
ferminante			Samson p295 [unknown/low]
ferrokaril		noun	Samson p295 [unknown/low]
fertil		adjective	Samson p295 [unknown/low]
fertilidad		noun	Samson p295 [unknown/low]
fervor		noun	Samson p295 [unknown/low]
fervorin		noun	Samson p295 [unknown/low]
festehado		noun	Samson p295 [unknown/low]
festehante		adjective	Samson p295 [unknown/low]
festival		noun	Samson p295 [unknown/low]
festividad		noun	Samson p296 [unknown/low]
feto		noun	Samson p296 [unknown/low]
fetucdne			Samson p296 [unknown/low]
feudalismo		noun	Samson p296 [unknown/low]
fiador		noun	Samson p296 [unknown/low]
fiambrera		noun	Samson p296 [unknown/low]
fianza		noun	Samson p296 [unknown/low]
fiasko		noun	Samson p296 [unknown/low]
fiat			Samson p296 [unknown/low]
fibroso		adjective	Samson p296 [unknown/low]
fictisioso		adjective	Samson p296 [unknown/low]
fideos			Samson p296 [unknown/low]
fidusiario		adjective	Samson p296 [unknown/low]
fiesta		noun	Samson p296 [unknown/low]
figura		noun	Samson p296 [unknown/low]
figurativo		adjective	Samson p296 [unknown/low]
figurin		noun	Samson p296 [unknown/low]
fihadu			Samson p297 [unknown/low]
fihu		adjective	Samson p297 [unknown/low]
fila		noun	Samson p297 [unknown/low]
file			Samson p297 [unknown/low]
filemon			Samson p297 [unknown/low]
filete		noun	Samson p297 [unknown/low]
filibusterismo		noun	Samson p297 [unknown/low]
filipino			Samson p297 [unknown/low]
filipos			Samson p297 [unknown/low]
filisteo			Samson p297 [unknown/low]
filologo		noun	Samson p297 [unknown/low]
filomena		noun	Samson p297 [unknown/low]
filosofiko		adjective	Samson p298 [unknown/low]
filosofiya			Samson p297 [unknown/low]
filosofo		noun	Samson p298 [unknown/low]
filtro		noun	Samson p298 [unknown/low]
final		adjective	Samson p298 [unknown/low]
finansia		noun	Samson p298 [unknown/low]
finansiero		noun	Samson p298 [unknown/low]
finlandes			Samson p298 [unknown/low]
finlandia		noun	Samson p298 [unknown/low]
fino		adjective	Samson p298 [unknown/low]
fired			Samson p108 [unknown/low]
firma		noun	Samson p298 [unknown/low]
firmamento		noun	Samson p298 [unknown/low]
firme			Samson p298 [dictionary_explicit/high]
flahelante		noun	Samson p298 [unknown/low]
flamenko		noun	Samson p299 [unknown/low]
flatulensia		noun	Samson p299 [unknown/low]
flauta		noun	Samson p299 [unknown/low]
flautista		noun	Samson p299 [unknown/low]
flema		noun	Samson p299 [unknown/low]
flerida		noun	Samson p299 [unknown/low]
flor			Samson p299 [unknown/low]
flora			Samson p299 [unknown/low]
florante		noun	Samson p299 [unknown/low]
floreo			Samson p299 [unknown/low]
foils			Samson p299 [unknown/low]
folio		noun	Samson p299 [unknown/low]
folyeto		noun	Samson p299 [unknown/low]
fonda		noun	Samson p299 [unknown/low]
fondo		noun	Samson p299 [unknown/low]
fonetiko			Samson p299 [unknown/low]
fonografo		noun	Samson p299 [unknown/low]
fontana		noun	Samson p300 [unknown/low]
form			Samson p300 [unknown/low]
forma		noun	Samson p300 [unknown/low]
formal		adjective	Samson p300 [unknown/low]
formula		noun	Samson p300 [unknown/low]
formulario		noun	Samson p300 [unknown/low]
fornikasion		noun	Samson p300 [unknown/low]
fornikation			Samson p300 [unknown/low]
foro		noun	Samson p300 [unknown/low]
forte		noun	Samson p300 [unknown/low]
fortifikasion		noun	Samson p300 [unknown/low]
fortissimo			Samson p300 [unknown/low]
fortitud		noun	Samson p300 [dictionary_explicit/high]
forzado		adjective	Samson p301 [dictionary_explicit/high]
fosporo			Samson p301 [unknown/low]
fotografiko		adjective	Samson p301 [unknown/low]
fotografiya		noun	Samson p301 [unknown/low]
fotografo		noun	Samson p301 [unknown/low]
fotokopia		noun	Samson p301 [unknown/low]
fraile		noun	Samson p301 [unknown/low]
franka		adjective	Samson p301 [unknown/low]
frankisia		noun	Samson p301 [dictionary_explicit/high]
franses		noun	Samson p301 [unknown/low]
fransia		noun	Samson p301 [unknown/low]
fransiskano			Samson p301 [unknown/low]
frase		noun	Samson p302 [unknown/low]
frasko		noun	Samson p301 [dictionary_explicit/high]
fraternal		adjective	Samson p302 [unknown/low]
fraternity			Samson p302 [unknown/low]
fratrisidio		noun	Samson p302 [unknown/low]
fraudulente		adjective	Samson p302 [unknown/low]
fray		noun	Samson p302 [unknown/low]
frekuente		adjective	Samson p302 [unknown/low]
freno		noun	Samson p302 [unknown/low]
frente		noun (OCR: printed as 'ft.')	Samson p302 [unknown/low]
fresa		noun (OCR: printed as 'ft.')	Samson p302 [unknown/low]
fresko		adjective	Samson p302 [unknown/low]
fricsion		noun (OCR: printed as 'ft.')	Samson p302 [unknown/low]
fritada			Samson p302 [dictionary_explicit/high]
frito			Samson p302 [unknown/low]
fruta		noun (OCR: printed as 'ft.')	Samson p302 [unknown/low]
frutera			Samson p302 [unknown/low]
ft			Samson p302 [unknown/low]
fuente		noun	Samson p302 [unknown/low]
fuera		adjective	Samson p303 [unknown/low]
fuerte		adjective	Samson p303 [unknown/low]
fuerza		noun	Samson p303 [unknown/low]
fugante		noun	Samson p303 [unknown/low]
fugon			Samson p303 [unknown/low]
fulano			Samson p303 [unknown/low]
fumador		noun	Samson p303 [unknown/low]
fumigasion		noun	Samson p303 [unknown/low]
gabak			Kapampangan-English-Pilipino wordlist p29 [unknown/low]
gabak-		N./D./St	PALI:gaba’k-
gabe			Kapampangan-English-Pilipino wordlist p29 [unknown/low]
gabun		N	PALI:gabu’n
gadgad		D./St./V	PALI:gadgad
gadtu		D	PALI:-gadtu’q
gag-dia		noun	Samson p306 [unknown/low]
gaga		V	PALI:ga’gaq
gagawan			Mirikitani p917 [unknown/low]
gaggiat		verb	Samson p306 [unknown/low]
gago			Samson p306 [unknown/low]
gagu		D	PALI:ga’gu
gaguti			Samson p306 [dictionary_explicit/high]
gaindu		noun	Samson p306 [unknown/low]
gaiwan		verb	Samson p306 [unknown/low]
gakgak		V	PALI:gakga’k
gal		*agal, (D	PALI:-gal
gala		noun-verb	Samson p306 [unknown/low]
galabadu			Samson p306 [dictionary_explicit/high]
galacgac			Samson p306 [dictionary_explicit/high]
galadgad		noun	Samson p306 [unknown/low]
galagala			Samson p306 [unknown/low]
galagalapac			Samson p307 [unknown/low]
galal			Samson p307 [dictionary_explicit/high]
galamanu			Samson p307 [unknown/low]
galame		noun	Samson p307 [unknown/low]
galamit			Samson p307 [unknown/low]
galamus			Samson p307 [unknown/low]
galang		N	PALI:ga’lang
galanggalang		noun	Samson p307 [unknown/low]
galanggang		noun-verb	Samson p307 [unknown/low]
galante		adjective	Samson p307 [unknown/low]
galantina		noun	Samson p307 [unknown/low]
galapac		noun	Samson p307 [unknown/low]
galapung			Kapampangan-English-Pilipino wordlist p29 [unknown/low]
galas			Kapampangan-English-Pilipino wordlist p29 [unknown/low]
galasgas		noun	Samson p307 [unknown/low]
galatgat		verb	Samson p307 [unknown/low]
galauc			Samson p308 [dictionary_explicit/high]
galayan		noun	Samson p308 [unknown/low]
gale		noun	Samson p308 [unknown/low]
galeon		noun	Samson p308 [unknown/low]
galeriya			Samson p308 [unknown/low]
galeuc			Samson p308 [dictionary_explicit/high]
galeung		noun	Samson p308 [unknown/low]
galgahu			Samson p308 [dictionary_explicit/high]
galgal		V	PALI:galgal
galgau			Kapampangan-English-Pilipino wordlist p29 [unknown/low]
galiad		noun	Samson p308 [dictionary_explicit/high]
galicgic		noun	Samson p308 [unknown/low]
galieta		noun (OCR: printed as 'ft.')	Samson p309 [unknown/low]
galigatsu		noun	Samson p308 [unknown/low]
galigatus			Samson p308 [dictionary_explicit/high]
galigit		verb	Samson p308 [dictionary_explicit/high]
galigu		N	PALI:galigu’q
galikgik		V	PALI:galikgi’k
galilea		noun (OCR: printed as 'ft.')	Samson p309 [unknown/low]
galileo		adjective	Samson p309 [unknown/low]
galimgim		noun-verb	Samson p309 [unknown/low]
galing		noun (OCR: printed as 'ft.')	Samson p309 [dictionary_explicit/high]
galingaldo			Kapampangan-English-Pilipino wordlist p29 [unknown/low]
galis		noun	Samson p309 [unknown/low]
galitgitan		adjective	Samson p309 [dictionary_explicit/high]
galo		N	PALI:galo’
galope		noun	Samson p309 [unknown/low]
galoperas			Samson p310 [unknown/low]
galsal		verb	Samson p310 [unknown/low]
galting		adjective	Samson p310 [unknown/low]
galtung		adjective	Samson p310 [unknown/low]
galu		noun	Samson p310 [unknown/low]
galucguc		noun	Samson p310 [unknown/low]
galudgud		N	PALI:galudgu’d
galugo		noun-verb	Samson p310 [unknown/low]
galugu		noun	Samson p310 [dictionary_explicit/high]
galung		noun (OCR: printed as 'ft.')	Samson p310 [unknown/low]
galunggang		noun (OCR: printed as 'ft.')	Samson p310 [unknown/low]
galunggong		noun (OCR: printed as 'ft.')	Samson p310 [unknown/low]
galunggung		N	PALI:galunggu’ng
galus		noun (OCR: printed as 'ft.')	Samson p310 [dictionary_explicit/high]
galut		adjective	Samson p310 [dictionary_explicit/high]
galvanizadu		adjective	Samson p310 [unknown/low]
gamal			Samson p310 [dictionary_explicit/high]
gamas			Samson p310 [dictionary_explicit/high]
gamat		N	PALI:gama’t
gambul		adjective	Samson p311 [dictionary_explicit/high]
gambul-		V	PALI:gambu’l-
gamgam		noun	Samson p311 [dictionary_explicit/high]
gamit		V	PALI:ga’mit
gamogamo			Samson p311 [dictionary_explicit/high]
gampa		V./St	PALI:gampa’q
gamus		V	PALI:ga’mus
gamut		noun	Samson p312 [dictionary_explicit/high]
gamuza		noun	Samson p312 [unknown/low]
gana		N	PALI:ga’na
ganado		noun	Samson p313 [unknown/low]
ganadus			Kapampangan-English-Pilipino wordlist p29 [unknown/low]
ganaka		D	PALI:ganaka’q
ganansia		noun	Samson p313 [dictionary_explicit/high]
ganap		D	PALI:gana’p
ganarul			Samson p313 [unknown/low]
gancho			Samson p313 [dictionary_explicit/high]
gandus		N	PALI:gandu’s
gangdang		noun	Samson p314 [unknown/low]
ganggatu		noun	Samson p314 [unknown/low]
gangrena		noun	Samson p314 [unknown/low]
gangsal		adjective	Samson p314 [dictionary_explicit/high]
gani		noun	Samson p314 [unknown/low]
ganid		adjective	Samson p314 [unknown/low]
ganing-aldo		N	PALI:gani’ng-aldo’
ganingaldo		adverb	Samson p314 [dictionary_explicit/high]
gansa		N	PALI:gansa’
gansal		adjective	Samson p314 [unknown/low]
gansuiu		noun	Samson p314 [dictionary_explicit/high]
ganu		transitive verb	Samson p314 [unknown/low]
gapang		V	PALI:ga’pang
gapas		V	PALI:ga’pas
gapgap			Samson p314 [dictionary_explicit/high]
gapi		adjective	Samson p314 [dictionary_explicit/high]
gapis		N	PALI:ga’pis
gapus		N	PALI:ga’pus
garadu		N	PALI:gara’du
garai			Kapampangan-English-Pilipino wordlist p29 [unknown/low]
garapata			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
garapun		N	PALI:garapu’n
garbanzo		noun	Samson p316 [unknown/low]
garbo		noun	Samson p316 [unknown/low]
gareta		N	PALI:gare’ta
gargantilia		noun	Samson p316 [unknown/low]
garil		adjective	Samson p316 [unknown/low]
garilit			Samson p316 [unknown/low]
garing		noun	Samson p316 [unknown/low]
garitun		noun	Samson p316 [dictionary_explicit/high]
garosa		N	PALI:garo’sa
garote			Samson p316 [unknown/low]
garrafa		noun	Samson p316 [unknown/low]
garrafon		noun	Samson p316 [unknown/low]
garrote			Samson p316 [unknown/low]
garungan		N	PALI:ga:ru’ngan
gas		N	PALI:gas
gasa		verb	Samson p316 [unknown/low]
gasac			Samson p317 [dictionary_explicit/high]
gasera		noun	Samson p317 [unknown/low]
gasgas		N	PALI:gasga’s
gasi			Samson p317 [unknown/low]
gaslo		D	PALI:gaslo’
gasolina		N	PALI:gasoli’na
gaspang		D	PALI:-gaspa’ng
gaspung			Mirikitani p917 [unknown/low]
gasta			Samson p317 [dictionary_explicit/high]
gastadu		adjective	Samson p317 [unknown/low]
gastarul			Samson p317 [unknown/low]
gastus		N	PALI:gastu’s
gasu			Samson p318 [dictionary_explicit/high]
gasul			Samson p318 [dictionary_explicit/high]
gasulina			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
gat			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
gat-ta		noun	Samson p319 [unknown/low]
gatal		D	PALI:gata’l
gatang		N	PALI:ga’tang
gatas		N	PALI:ga’tas
gatgat		adjective	Samson p318 [unknown/low]
gatiauin			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
gatil			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
gatla		noun	Samson p318 [unknown/low]
gatling			Samson p318 [unknown/low]
