surface,process,silver_gold_guess,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080,correct_segmentation,best_version,notes
kabilugan,circumfixation,ka+bilug+an,kabilugan,kabilugan,kabilugan,kabilugan,kabilugan,kabilugan,ka+bilug+an,ka+bilug+an,ka+bilug+an,ka+bilug+an,ka+bilug+an,ka+bilug+an,ka+bilug+an,ka+bilug+an,ka+bilug+an,ka+bilug+an,ka+bilug+an,ka+bilug+an,kabilugan,kabilugan,kabilugan,kabilugan,kabilugan,kabilugan,kabilugan,,,
kalaganapan,circumfixation,ka+laganap+an,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kalagan+apan,kala+gan+apan,kala+gan+apan,kalagan+apan,ka+lag+ana+pan,ka+lag+ana+pan,ka+lag+ana+pan,kala+gan+apan,kala+gan+apan,kala+gan+apan,ka+lag+ana+p+an,ka+lag+anap+an,ka+lag+anap+an,ka+la+ganap+an,,,
kapagalan,circumfixation,ka+pagal+an,kapag+alan,kapag+alan,kapagalan,kapag+alan,kapag+alan,kapag+alan,kapag+alan,kapag+alan,kapag+alan,kapag+alan,kapag+alan,kapag+alan,kapag+alan,kapag+alan,kapag+alan,ka+pagal+an,ka+pagal+an,ka+pagal+an,ka+pag+alan,ka+pag+alan,ka+pag+alan,ka+pag+alan,ka+pag+alan,ka+pag+alan,kapag+alan,,,
kapainawan,circumfixation,ka+painaw+an,ka+pain+awan,ka+pain+awan,kapainawan,ka+pa+ina+wan,kapa+inawan,kapainawan,ka+pa+ina+wan,ka+pa+inawan,kapainawan,kapa+ina+wan,kapa+inawan,kapainawan,kapa+in+awan,kapa+inawan,kapainawan,ka+pain+awan,ka+pain+awan,kapainawan,kapa+in+awan,kapa+inawan,kapainawan,kapa+in+awan,kapa+inawan,kapainawan,kapa+inawa+n,,,
pagumasdan,circumfixation,pa+gumasd+an,pag+umas+dan,pag+umasdan,pagumasdan,pag+umas+dan,pag+umasdan,pagumasdan,pag+u+masdan,pag+u+masdan,pagumasdan,pag+u+masdan,pagu+masdan,pagumasdan,pa+gu+masdan,pagu+masdan,pagumasdan,pa+gu+masdan,pa+gumasdan,pagumasdan,pa+gu+mas+dan,pa+gu+masdan,pagumasdan,pa+gu+mas+dan,pa+gu+masdan,pagumasdan,pa+gumasdan,,,
kabilyan,circumfixation,ka+bily+an,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,kabilyan,,,
kaburian,circumfixation,ka+buri+an,kaburian,kaburian,kaburian,kab+urian,kab+urian,kab+urian,ka+bur+ian,ka+bur+ian,ka+bur+ian,ka+buri+an,ka+buri+an,ka+buri+an,ka+buri+an,ka+buri+an,ka+buri+an,ka+buri+an,ka+buri+an,ka+buri+an,ka+buri+an,ka+buri+an,ka+buri+an,ka+buri+an,ka+buri+an,ka+buri+an,kaburian,,,
kamulangan,circumfixation,ka+mulang+an,kam+ul+angan,kam+ul+angan,kam+ulangan,kam+ul+angan,kam+ul+angan,kam+ul+angan,kam+ul+angan,kam+ul+angan,kam+ul+angan,kam+ul+angan,kam+ul+angan,kam+ul+angan,kam+ulang+an,kam+ulang+an,kam+ulang+an,kam+ul+angan,kam+ul+angan,kam+ul+angan,kam+ul+angan,kam+ul+angan,kam+ul+angan,ka+mu+langan,ka+mu+langan,ka+mu+langan,ka+mu+langan,,,
kapalaluan,circumfixation,ka+palalu+an,kap+alal+uan,kap+alal+uan,kap+alal+uan,kapal+al+uan,kapal+al+uan,kapal+aluan,ka+pal+al+uan,kapal+al+uan,kapal+aluan,ka+pal+al+uan,kapal+al+uan,kapal+aluan,ka+pal+al+uan,ka+pal+al+uan,kapal+aluan,ka+pa+lalu+an,ka+pa+lalu+an,kapa+lalu+an,kapa+lalu+an,kapa+lalu+an,kapa+lalu+an,kapa+lalu+an,kapa+lalu+an,kapa+lalu+an,kapa+lalu+an,,,
kapatagan,circumfixation,ka+patag+an,kapat+agan,kapat+agan,kapatagan,kapat+agan,kapat+agan,kapat+agan,ka+pat+agan,ka+pat+agan,ka+pat+agan,ka+pat+agan,ka+pat+agan,ka+pat+agan,ka+patag+an,ka+patag+an,ka+patag+an,ka+patag+an,ka+patag+an,ka+patag+an,ka+patag+an,ka+patag+an,ka+patag+an,ka+patag+an,ka+patag+an,ka+patag+an,kapata+gan,,,
katungkulan,circumfixation,ka+tungkul+an,kat+ungkulan,katungkulan,katungkulan,kat+ungkul+an,kat+ungkulan,kat+ungkulan,kat+ungkul+an,kat+ungkul+an,kat+ungkul+an,kat+ungkul+an,kat+ungkul+an,kat+ungkul+an,ka+tungkul+an,ka+tungkul+an,ka+tungkul+an,ka+tungkul+an,ka+tungkul+an,ka+tungkul+an,ka+tungkul+an,ka+tungkul+an,ka+tungkul+an,ka+tung+kulan,ka+tung+kulan,ka+tung+kulan,ka+tungkul+an,,,
kawakasan,circumfixation,ka+wakas+an,ka+wa+kasan,kawakasan,kawakasan,ka+wakas+an,ka+wakas+an,ka+wakas+an,ka+wakas+an,ka+wakas+an,ka+wakas+an,ka+wakas+an,ka+wakas+an,ka+wakas+an,ka+wakas+an,ka+wakas+an,ka+wakas+an,ka+wakas+an,ka+wakas+an,ka+wakas+an,ka+wa+kas+an,ka+wakas+an,ka+wakas+an,ka+wa+kas+an,ka+wakas+an,ka+wakas+an,kawaka+san,,,
kayaldawan,circumfixation,ka+yaldaw+an,kay+al+da+wan,kay+alda+wan,kayaldawan,kay+al+da+wan,kay+alda+wan,kayaldawan,kay+al+da+wan,kay+alda+wan,kayaldawan,kay+al+da+wan,kay+alda+wan,kayaldawan,kay+al+da+wan,kay+alda+wan,kayaldawan,kay+al+da+wan,kay+al+da+wan,kayaldawan,kay+alda+wan,kay+alda+wan,kayaldawan,kay+alda+wan,kay+alda+wan,kayaldawan,kayaldawan,,,
kabengian,circumfixation,ka+bengi+an,kab+eng+ian,kab+eng+ian,kabengian,kab+eng+ian,kab+eng+ian,kab+eng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+beng+ian,ka+bengi+an,,,
pasiknangan,circumfixation,pa+siknang+an,pas+iknangan,pas+iknangan,pasiknangan,pas+iknangan,pasiknangan,pasiknangan,pas+iknangan,pasiknangan,pasiknangan,pa+sik+nang+an,pasiknangan,pasiknangan,pasi+knangan,pasiknangan,pasiknangan,pasi+knangan,pasiknangan,pasiknangan,pasi+k+nang+an,pasiknangan,pasiknangan,pa+sik+nang+an,pa+sik+nang+an,pasiknangan,pasikna+ngan,,,
sinabi,infixation,s+in+abi,sinabi,sinabi,sinabi,sin+abi,sin+abi,sin+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,sinabi,,,
binie,infixation,b+in+ie,binie,binie,binie,bin+ie,bin+ie,bin+ie,b+in+ie,b+in+ie,b+in+ie,b+in+ie,b+in+ie,b+in+ie,b+in+ie,b+in+ie,b+in+ie,b+in+ie,b+in+ie,b+in+ie,b+in+ie,b+in+ie,b+in+ie,b+in+ie,b+in+ie,b+in+ie,binie,,,
binili,infixation,b+in+ili,binili,binili,binili,bin+ili,bin+ili,bin+ili,b+in+ili,b+in+ili,b+in+ili,b+in+ili,b+in+ili,b+in+ili,b+in+ili,b+in+ili,b+in+ili,b+in+ili,b+in+ili,b+in+ili,b+in+ili,b+in+ili,b+in+ili,b+in+ili,b+in+ili,b+in+ili,binil+i,,,
dinatang,infixation,d+in+atang,dinatang,dinatang,dinatang,din+atang,din+atang,din+atang,d+in+atang,d+in+atang,d+in+atang,d+in+atang,d+in+atang,d+in+atang,d+in+atang,d+in+atang,d+in+atang,d+in+atang,d+in+atang,d+in+atang,d+in+atang,d+in+atang,d+in+atang,d+in+atang,d+in+atang,d+in+atang,d+inatang,,,
kinua,infixation,k+in+ua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,kinua,,,
tinape,infixation,t+in+ape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,tinape,,,
sinta,infixation,s+in+ta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,sinta,,,
miniabi,infixation,m+in+iabi,mini+abi,miniabi,miniabi,mini+abi,miniabi,miniabi,mini+abi,miniabi,miniabi,mini+abi,miniabi,miniabi,min+iabi,miniabi,miniabi,min+iabi,miniabi,miniabi,min+iabi,miniabi,miniabi,min+iabi,miniabi,miniabi,miniabi,,,
linual,infixation,l+in+ual,linual,linual,linual,l+inu+al,l+inu+al,linu+al,l+inu+al,l+inu+al,linu+al,l+inu+al,l+inu+al,linu+al,l+inu+al,l+inu+al,linu+al,l+in+ual,l+in+ual,l+in+ual,l+in+ual,l+in+ual,l+in+ual,l+inu+al,l+inu+al,l+inu+al,linual,,,
binang,infixation,b+in+ang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,binang,,,
dinalan,infixation,d+in+alan,dinalan,dinalan,dinalan,dinalan,dinalan,dinalan,dinalan,dinalan,dinalan,dinalan,dinalan,dinalan,d+in+alan,dinalan,dinalan,d+in+alan,d+in+alan,d+in+alan,d+in+alan,d+in+alan,dinalan,dinalan,dinalan,dinalan,dinalan,,,
tinalakad,infixation,t+in+alakad,tinalakad,tinalakad,tinalakad,tin+alakad,tin+alakad,tin+alakad,t+in+alakad,t+in+alakad,t+in+alakad,t+in+alakad,t+in+alakad,t+in+alakad,t+in+alakad,t+in+alakad,t+in+alakad,t+in+alakad,t+in+alakad,t+in+alakad,t+in+alakad,t+in+alakad,t+in+alakad,t+in+ala+kad,t+in+ala+kad,t+in+ala+kad,tin+alakad,,,
tumula,infixation,t+um+ula,tum+ula,tumula,tumula,tu+mula,tumula,tumula,tumu+la,tumula,tumula,tumu+la,tumula,tumula,tumu+la,tumula,tumula,tumu+la,tumula,tumula,tu+mu+la,tumula,tumula,tu+mu+la,tumula,tumula,tu+mula,,,
dinapat,infixation,d+in+apat,din+apat,dinapat,dinapat,din+apat,din+apat,din+apat,d+in+apat,d+in+apat,d+in+apat,d+in+apat,d+in+apat,d+in+apat,d+in+apat,d+in+apat,d+in+apat,d+in+apat,d+in+apat,d+in+apat,d+in+apat,d+in+apat,d+in+apat,d+in+apat,d+in+apat,d+in+apat,din+apat,,,
minuna,infixation,m+in+una,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,,,
linub,infixation,l+in+ub,linub,linub,linub,lin+ub,lin+ub,lin+ub,l+in+ub,l+in+ub,l+in+ub,l+in+ub,l+in+ub,l+in+ub,l+in+ub,l+in+ub,l+in+ub,l+in+ub,l+in+ub,l+in+ub,l+in+ub,l+in+ub,l+in+ub,l+in+ub,l+in+ub,l+in+ub,linub,,,
dininan,infixation,d+in+inan,dininan,dininan,dininan,dininan,dininan,dininan,dininan,dininan,dininan,dininan,dininan,dininan,dininan,dininan,dininan,d+in+in+an,d+in+in+an,dininan,d+in+in+an,dininan,dininan,d+in+in+an,dininan,dininan,dininan,,,
ninumang,infixation,n+in+umang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninumang,ninuman+g,,,
ninung,infixation,n+in+ung,n+inung,ninung,ninung,n+inung,n+inung,n+inung,n+inung,n+inung,n+inung,n+in+ung,n+in+ung,n+in+ung,n+in+ung,n+in+ung,n+in+ung,n+in+ung,n+in+ung,n+in+ung,nin+ung,nin+ung,nin+ung,n+in+ung,n+in+ung,n+in+ung,ninu+ng,,,
linigtas,infixation,l+in+igtas,lin+igtas,lin+igtas,linigtas,lin+ig+tas,lin+igtas,lin+igtas,l+in+ig+tas,l+in+igtas,l+in+igtas,l+in+ig+tas,l+in+igtas,l+in+igtas,l+in+ig+tas,l+in+igtas,l+in+igtas,l+in+ig+tas,l+in+igtas,l+in+igtas,l+in+ig+tas,l+in+igtas,l+in+igtas,l+in+igtas,l+in+igtas,l+in+igtas,lin+igtas,,,
sumpa,infixation,s+um+pa,sum+pa,sum+pa,sumpa,sum+pa,sumpa,sumpa,s+umpa,sumpa,sumpa,s+umpa,sumpa,sumpa,s+umpa,sumpa,sumpa,sumpa,sumpa,sumpa,s+umpa,sumpa,sumpa,sum+pa,sumpa,sumpa,sumpa,,,
sinampa,infixation,s+in+ampa,sin+ampa,sin+ampa,sinampa,sin+ampa,sin+ampa,sin+ampa,s+in+ampa,s+in+ampa,s+in+ampa,s+in+ampa,s+in+ampa,s+in+ampa,s+in+ampa,s+in+ampa,s+in+ampa,s+in+am+pa,s+in+ampa,s+in+ampa,s+in+ampa,s+in+ampa,s+in+ampa,s+in+ampa,s+in+ampa,s+in+ampa,s+inampa,,,
kinanua,infixation,k+in+anua,kin+anua,kin+anua,kinanua,k+inan+ua,k+inan+ua,kinanua,k+inan+ua,k+inan+ua,kinanua,k+in+an+ua,k+in+an+ua,kinanua,k+in+anua,k+in+anua,kinanua,k+in+an+ua,k+in+an+ua,kinanua,k+in+an+ua,k+in+an+ua,kinanua,k+in+anua,k+in+anua,kinanua,ki+nanu+a,,,
linapit,infixation,l+in+apit,linapit,linapit,linapit,lin+apit,lin+apit,lin+apit,l+in+apit,l+in+apit,l+in+apit,l+in+apit,l+in+apit,l+in+apit,l+in+apit,l+in+apit,l+in+apit,l+in+apit,l+in+apit,l+in+apit,l+in+apit,l+in+apit,l+in+apit,l+in+apit,l+in+apit,l+in+apit,linap+it,,,
binye,infixation,b+in+ye,bin+ye,binye,binye,bin+ye,bin+ye,bin+ye,b+in+ye,b+in+ye,b+in+ye,b+in+ye,b+in+ye,b+in+ye,b+in+ye,b+in+ye,b+in+ye,b+in+ye,b+in+ye,b+in+ye,b+in+ye,b+in+ye,b+in+ye,b+in+ye,b+in+ye,b+in+ye,bin+ye,,,
linto,infixation,l+in+to,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,linto,,,
pinili,infixation,p+in+ili,pinili,pinili,pinili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pin+ili,pinili,,,
sintang,infixation,sintang,sin+tang,sintang,sintang,sint+ang,sintang,sintang,sint+ang,sintang,sintang,s+intang,s+intang,sintang,s+intang,sintang,sintang,s+intang,sintang,sintang,s+intang,sintang,sintang,s+intang,s+intang,sintang,sinta+ng,,,
kinuldas,infixation,k+in+uldas,kinul+das,kinul+das,kinuldas,kin+ul+das,kin+uldas,kin+uldas,kin+ul+das,kin+uldas,kin+uldas,k+in+ul+das,k+in+uldas,k+in+uldas,k+in+ul+das,k+in+uldas,k+in+uldas,k+in+ul+das,k+in+uldas,k+in+uldas,k+in+ul+das,k+in+uldas,k+in+uldas,k+in+ul+das,k+in+uldas,k+in+uldas,kin+uldas,,,
lumakad,infixation,l+um+akad,luma+kad,luma+kad,lumakad,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,lu+maka+d,luma+kad,,,
sinulat,infixation,s+in+ulat,sinulat,sinulat,sinulat,sin+ulat,sin+ulat,sin+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,sinu+lat,sinu+lat,sinu+lat,sinu+lat,sinu+lat,sinu+lat,sinulat,,,
tumakut,infixation,t+um+akut,tum+akut,tum+akut,tum+akut,tum+ak+ut,tum+ak+ut,tum+akut,tu+ma+kut,tu+ma+kut,tu+ma+kut,tu+ma+kut,tu+ma+kut,tu+ma+kut,tu+ma+kut,tu+ma+kut,tu+ma+kut,tu+ma+kut,tu+ma+kut,tuma+kut,tu+ma+kut,tu+ma+kut,tuma+kut,tu+ma+kut,tu+ma+kut,tuma+kut,tum+aku+t,,,
tinakas,infixation,t+in+akas,tin+a+kas,tin+akas,tinakas,t+ina+kas,t+ina+kas,t+ina+kas,t+ina+kas,t+ina+kas,tina+kas,t+ina+kas,t+ina+kas,tina+kas,t+in+akas,t+in+akas,t+in+akas,t+in+a+kas,t+in+akas,t+in+akas,t+in+akas,t+in+akas,t+in+akas,t+in+aka+s,t+in+akas,t+in+akas,ti+na+kas,,,
tinas,infixation,t+in+as,t+inas,t+inas,tinas,tin+as,tin+as,tin+as,t+in+as,t+in+as,t+in+as,t+in+as,t+in+as,t+in+as,t+in+as,t+in+as,t+in+as,t+in+as,t+in+as,t+in+as,t+in+as,t+in+as,t+in+as,t+in+as,t+in+as,t+in+as,tin+as,,,
linawe,infixation,l+in+awe,lin+awe,linawe,linawe,lina+we,linawe,linawe,lina+we,linawe,linawe,lina+we,linawe,linawe,l+inawe,linawe,linawe,l+in+awe,linawe,linawe,l+in+awe,linawe,linawe,l+in+awe,linawe,linawe,linawe,,,
mumunang,infixation,m+um+unang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,mumunang,,,
sinugat,infixation,s+in+ugat,sin+ug+at,sin+ugat,sinugat,sin+ug+at,sin+ugat,sin+ugat,s+in+ug+at,s+in+ugat,s+in+ugat,s+in+ug+at,s+in+ugat,s+in+ugat,s+in+ug+at,s+in+ugat,s+in+ugat,s+in+ug+at,s+in+ugat,s+in+ugat,s+in+ug+at,s+in+ugat,s+in+ugat,s+in+ugat,s+in+ugat,s+in+ugat,sin+u+g+at,,,
sinuyu,infixation,s+in+uyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,sinuyu,,,
dinalung,infixation,d+in+alung,din+alung,din+alung,din+alung,din+alung,din+alung,din+alung,d+inal+ung,d+inal+ung,dinal+ung,d+inal+ung,d+inal+ung,d+inal+ung,d+in+alung,d+in+alung,d+in+alung,d+in+alung,d+in+alung,d+in+alung,d+in+alung,d+in+alung,d+in+alung,d+in+alung,d+in+alung,d+in+alung,dinal+ung,,,
dinam,infixation,d+in+am,din+am,din+am,dinam,din+am,din+am,din+am,d+in+am,d+in+am,d+in+am,d+in+am,d+in+am,d+in+am,d+in+am,d+in+am,d+in+am,d+in+am,d+in+am,d+in+am,d+in+am,d+in+am,d+in+am,d+in+am,d+in+am,d+in+am,di+na+m,,,
minaus,infixation,m+in+aus,min+aus,min+aus,minaus,m+inaus,m+inaus,minaus,min+aus,min+aus,minaus,min+aus,min+aus,minaus,min+aus,min+aus,minaus,min+aus,min+aus,minaus,min+aus,min+aus,minaus,min+aus,min+aus,minaus,m+inaus,,,
minunang,infixation,m+in+unang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minunang,minuna+ng,,,
sumuyu,infixation,s+um+uyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,su+mu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,sumuyu,,,
tinuki,infixation,t+in+uki,tinuki,tinuki,tinuki,tin+uki,tin+uki,tin+uki,t+in+uki,t+in+uki,t+in+uki,t+in+uki,t+in+uki,t+in+uki,tinu+ki,tinu+ki,tinu+ki,t+in+uki,t+in+uki,t+in+uki,t+inu+ki,t+inu+ki,t+inu+ki,t+inu+ki,t+inu+ki,t+inu+ki,tinuki,,,
lumapit,infixation,l+um+apit,lum+apit,lumapit,lumapit,lum+apit,lum+apit,lum+apit,lu+ma+pit,luma+pit,luma+pit,lu+ma+pit,luma+pit,luma+pit,lu+ma+pit,luma+pit,luma+pit,lu+ma+pit,lu+ma+pit,luma+pit,lu+ma+pit,lu+ma+pit,luma+pit,lu+ma+pit,luma+pit,luma+pit,luma+pit,,,
minum,infixation,m+in+um,min+um,minum,minum,minum,minum,minum,minum,minum,minum,minum,minum,minum,minum,minum,minum,minum,minum,minum,minum,minum,minum,min+um,minum,minum,minum,,,
singsing,infixation,s+in+gsing,sing+sing,sing+sing,singsing,sing+sing,singsing,singsing,sing+sing,singsing,singsing,sing+sing,singsing,singsing,sing+sing,singsing,singsing,sing+sing,singsing,singsing,si+ng+si+ng,si+ng+si+ng,singsing,si+ng+si+ng,si+ng+si+ng,singsing,singsing,,,
binutil,infixation,b+in+util,bin+ut+il,bin+ut+il,binutil,bin+ut+il,bin+ut+il,bin+util,b+in+ut+il,b+in+ut+il,b+in+util,b+in+ut+il,b+in+ut+il,b+in+util,b+in+ut+il,b+in+ut+il,b+in+util,b+inu+til,b+inu+til,b+inu+til,b+in+ut+il,b+in+ut+il,b+in+util,b+inu+til,b+inu+til,b+inu+til,binutil,,,
kiniak,infixation,k+in+iak,k+ini+ak,k+ini+ak,k+iniak,k+ini+ak,k+ini+ak,k+iniak,k+ini+ak,k+ini+ak,k+iniak,k+ini+ak,k+ini+ak,k+iniak,k+ini+ak,k+ini+ak,k+iniak,k+in+i+ak,k+in+i+ak,kini+ak,k+in+i+ak,k+in+i+ak,k+in+i+ak,k+ini+ak,k+ini+ak,k+iniak,ki+nia+k,,,
minie,infixation,m+in+ie,min+ie,minie,minie,minie,minie,minie,minie,minie,minie,minie,minie,minie,minie,minie,minie,minie,minie,minie,minie,minie,minie,minie,minie,minie,mini+e,,,
minta,infixation,m+in+ta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,minta,,,
tinikdo,infixation,t+in+ikdo,tin+ikdo,tin+ikdo,tinikdo,tin+ikdo,tin+ikdo,tin+ikdo,t+in+ikdo,t+in+ikdo,t+in+ikdo,t+in+ik+do,t+in+ikdo,t+in+ikdo,t+in+ik+do,t+in+ikdo,t+in+ikdo,t+in+ik+do,t+in+ikdo,t+in+ikdo,t+in+ik+do,t+in+ikdo,t+in+ikdo,t+in+ik+do,t+in+ik+do,t+in+ikdo,tinikdo,,,
kinagli,infixation,k+in+agli,kin+ag+li,kin+ag+li,kin+agli,kin+ag+li,kin+ag+li,kin+agli,k+inag+li,k+inag+li,k+inag+li,k+inag+li,k+inag+li,k+inag+li,k+in+ag+li,k+in+ag+li,k+inag+li,k+in+ag+li,k+in+ag+li,k+inag+li,k+in+ag+li,k+in+ag+li,k+inag+li,k+in+ag+li,k+in+ag+li,k+inag+li,ki+na+g+li,,,
ninuman,infixation,n+in+uman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,ninuman,,,
sinumpa,infixation,s+in+umpa,sin+umpa,sin+umpa,sinumpa,sin+umpa,sin+umpa,sin+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+in+umpa,s+inum+pa,,,
linian,infixation,l+in+ian,lin+ian,lin+ian,lin+ian,lin+ian,lin+ian,lin+ian,l+in+ian,l+inian,l+inian,l+in+ian,l+inian,l+inian,l+in+ian,l+inian,l+inian,l+in+ian,l+inian,l+inian,l+in+ian,l+in+ian,l+inian,l+in+ian,l+in+ian,l+inian,lin+ian,,,
pinatubu,infixation,p+in+atubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+atu+bu,pin+atu+bu,pin+atubu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+a+tubu,,,
tinuknang,infixation,t+in+uknang,tin+uknang,tin+uknang,tinuknang,tin+uknang,tin+uknang,tin+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,tinu+k+nang,,,
sinag,infixation,s+in+ag,sinag,sinag,sinag,sinag,sinag,sinag,sinag,sinag,sinag,sinag,sinag,sinag,s+in+ag,s+in+ag,sinag,s+in+ag,s+in+ag,sinag,s+in+ag,s+in+ag,sinag,s+in+ag,s+in+ag,sinag,sinag,,,
tumakas,infixation,t+um+akas,tu+makas,tu+makas,tu+makas,tu+makas,tu+makas,tu+makas,tu+maka+s,tu+maka+s,tu+makas,tu+maka+s,tu+maka+s,tu+makas,tu+maka+s,tu+maka+s,tu+makas,tu+maka+s,tu+maka+s,tu+makas,tu+maka+s,tu+maka+s,tu+maka+s,tu+maka+s,tu+maka+s,tu+maka+s,tu+maka+s,,,
