item_num,pam_text,fil_text,n_tokens,n_attested,pct_attested,unattested_tokens
170,Mawala ing kakung pitaka kabang sasakay king pampublikong saskyan.,Nawala ang aking pitaka habang sumasakay sa pampublikong sasakyan.,9,6,66.7,"sasakay, pampublikong, saskyan"
171,Ihanda mu ing kekang barya para king pamasahe bayu sumakay.,Ihanda mo ang iyong barya para sa pamasahe bago sumakay.,10,7,70.0,"ihanda, pamasahe, sumakay"
172,Atin alternatibong dalan wari ban maiwasan ing trapiko king highway?,May alternatibong daan ba upang maiwasan ang trapiko sa highway?,10,7,70.0,"alternatibong, maiwasan, trapiko"
173,Miras kami king kekaming destinasyon nang ligtas at maayos.,Nakarating kami sa aming destinasyon nang ligtas at maayos.,9,8,88.9,destinasyon
174,Lumawe ka king kaili at wanan bayu ka tumawid king dalan.,Tumingin ka sa kaliwa at kanan bago ka tumawid sa kalsada.,11,10,90.9,tumawid
175,Mas mabilis ing lakad nung gumamit kang shortcut king looban.,Mas mabilis ang lakad kapag gumagamit ka ng shortcut sa looban.,10,9,90.0,looban
176,Minum kang dakal a danum at magpaynawa ka ban kumayap ing lagnat mu.,Uminom ka ng maraming tubig at magpahinga ka para gumaling ang lagnat mo.,13,13,100.0,
177,Masyadong mapali ing panahon ngeni kaya mas masanting manatili king kilub bale.,Sobrang init ng panahon ngayon kaya mas magandang manatili sa loob ng bahay.,12,12,100.0,
178,"Baka muran potang gatpanapun, kaya magdala kang payung.","Baka umulan mamayang hapon, kaya magdala ka ng payong.",8,8,100.0,
179,Minta ya king ospital inyang milabas a linggu ban magpacheck-up.,Pumunta siya sa ospital noong isang linggo para magpacheck-up.,10,9,90.0,magpacheck-up
180,Manyaman maglakad-lakad king parke nung maaliwalas ing banua.,Masarap maglakad-lakad sa parke kapag maaliwalas ang kalangitan.,8,8,100.0,
181,Kailangan tamung mangan masustansyang pamangan ban lumakas ing kekatamung katawan.,Kailangan nating kumain ng masustansyang pagkain upang lumakas ang ating katawan.,10,8,80.0,"masustansyang, lumakas"
182,Minum yang gamot pagka-yari mangan apagto.,Uminom siya ng gamot pagkatapos kumain ng tanghalian.,6,4,66.7,"pagka-yari, apagto"
183,Napakamarim ning angin ibat king bundok balang maagang abak.,Napakalamig ng hangin mula sa bundok tuwing maagang umaga.,9,7,77.8,"napakamarim, maagang"
184,Meglinis kaming mula ban maiwasan ing pagdami ning lamok.,Naglinis kami ng bakuran upang maiwasan ang pagdami ng lamok.,9,6,66.7,"maiwasan, pagdami, lamok"
185,Magdala kang jacket uling marim king kilub ning silid-aralan.,Magdala ka ng jacket dahil malamig sa loob ng silid-aralan.,9,8,88.9,marim
186,Masustansya ding sariwang gule a nabili tamu king pamilihan.,Masustansya ang mga sariwang gulay na nabili natin sa pamilihan.,9,8,88.9,nabili
187,Sumakit ing kayang atyan uling king kinain niyang maanghang a pamangan.,Sumakit ang kanyang tiyan dahil sa kinain niyang maanghang na pagkain.,11,9,81.8,"kinain, maanghang"
188,Magsuot silang raincoat uling king masikan a buhos ning uran.,Nagsuot sila ng raincoat dahil sa malakas na buhos ng ulan.,10,7,70.0,"magsuot, raincoat, buhos"
189,Ipinayo ning doktor na mag-ehersisyo kami ng tatlong beses king panying linggu.,Ipinayo ng doktor na mag-ehersisyo kami ng tatlong beses sa isang linggo.,12,9,75.0,"ipinayo, mag-ehersisyo, panying"
190,Megtanim kaming punong-kahoy king gilid ning bundok ban maiwasan ing albug.,Nagtanim kami ng mga punong-kahoy sa gilid ng bundok upang maiwasan ang baha.,11,8,72.7,"megtanim, punong-kahoy, maiwasan"
191,Mabango ing amoy ning bulaklak a namumukadkad king hardin.,Mabango ang amoy ng mga bulaklak na namumukadkad sa hardin.,9,7,77.8,"mabango, namumukadkad"
192,Kailangan mung matudtud walong oras balang bengi para king kekang kalusugan.,Kailangan mong matulog nang walong oras bawat gabi para sa iyong kalusugan.,11,10,90.9,walong
193,Maliwanag ing sikat ning aldo kaya mabilis dang natuyo ding imalan.,Maliwanag ang sikat ng araw kaya mabilis na natuyo ang mga damit.,11,10,90.9,natuyo
194,Iwasan ing masyadong matatamis a inumin ban e tumaas ing sugar level.,Iwasan ang masyadong matatamis na inumin para hindi tumaas ang sugar level.,12,10,83.3,"matatamis, tumaas"
195,Masanting magpa-checkup king dentista aduang beses king panying banua.,Magandang magpa-checkup sa dentista dalawang beses sa isang taon.,9,7,77.8,"magpa-checkup, panying"
196,Umihip ing masikan a angin bayu dumatang ing bagyo.,Umihip ang malakas na hangin bago dumating ang bagyo.,9,7,77.8,"umihip, dumatang"
197,Manyaman minum mainit a tsokolate nung maulan ing panahon.,Masarap uminom ng mainit na tsokolate kapag maulan ang panahon.,9,8,88.9,maulan
198,Meglagay kaming sunscreen bayu muna king dalampasigan.,Naglagay kami ng sunscreen bago pumunta sa dalampasigan.,7,5,71.4,"meglagay, sunscreen"
199,Inalilan ning doktor ing reseta ning kayang gamot king mata.,Pinalitan ng doktor ang reseta ng kanyang gamot sa mata.,10,9,90.0,reseta
200,Ing malinis a angin king lalawigan ay nakakatulong king mabilis a pamagkayap.,Ang malinis na hangin sa lalawigan ay nakakatulong sa mabilis na paggaling.,12,10,83.3,"nakakatulong, pamagkayap"
201,E ku makatipa king pamiantabe bukas uling atin kung mahalagang kailangang ayari.,Hindi ako makakadalo sa pagpupulong bukas dahil may mahalaga akong kailangang tapusin.,12,10,83.3,"makatipa, pamiantabe"
202,Ikit me ba ing susi a lewan ku king babaw ning lamesa?,Nakita mo ba ang susi na iniwan ko sa ibabaw ng lamesa?,12,10,83.3,"lewan, babaw"
203,"Bayu linub ing guro, manalon la ring estudyante king video king karelang cellphone.","Bago pumasok ang guro, nanonood ang mga estudyante ng video sa kanilang cellphone.",13,11,84.6,"guro, manalon"
204,Alang kuryente king kekaming barangay ketang metung a bengi inya e kami nakapagaral.,Walang kuryente sa aming barangay noong isang gabi kaya hindi kami nakapag-aral.,13,12,92.3,nakapagaral
205,"Nung atin kang kailangan, sabyan mu agad kanaku ba daka asopan.","Kung may kailangan ka, sabihin mo agad sa akin para matulungan kita.",11,11,100.0,
206,Ing kotse a sinali ning kapatad ku matipid ya king gasolina.,Ang kotse na binili ng kapatid ko ay napakatipid sa gasolina.,11,11,100.0,
207,Ali mu bubuksan ing awang kabang muran nang masikan.,Huwag mong buksan ang bintana habang umuulan nang malakas.,9,8,88.9,bubuksan
208,E ne pekibatan ing telepono agyang limang beses kung tinawag.,Hindi niya sinagot ang telepono kahit limang beses akong tumawag.,10,10,100.0,
209,Mas bisa kung maglakad pauli kaysa sumakai king bus nung gatpanapun.,Mas gusto kong maglakad pauwi kaysa sumakay ng bus kapag hapon.,11,10,90.9,sumakai
210,Ila ring taung sinopa kekami nang masira ing sasakyan mi.,Sila ang mga taong tumulong sa amin nang masira ang aming sasakyan.,10,8,80.0,"sinopa, sasakyan"
211,Kailangan tamung mako nang maaga ba tayung e abutanan ning trapik.,Kailangan nating umalis nang maaga upang hindi tayo maabutan ng trapik.,11,9,81.8,"maaga, abutanan"
212,Magluto ya i Maria ning apunan samantalang maglinis ya king bakuran i Juan.,Nagluluto si Maria ng hapunan samantalang naglilinis ng bakuran si Juan.,13,12,92.3,magluto
213,Atin bang makatagung pera king lalam ning palaman a yan?,May nakatagong pera ba sa ilalim ng unan na iyan?,10,9,90.0,makatagung
214,Kabud ku pa mengan tanghali nang dinatang ing bisita.,Kakakain ko lang ng tanghalian nang dumating ang bisita.,9,8,88.9,tanghali
215,E ku atandanan nung nukarin ke inabili ing salamin ku.,Hindi ko maaalala kung saan ko nailagay ang aking salamin.,10,9,90.0,inabili
216,Ing proyektong gewa tamu ketang metung a duminggu na-approban ne ning boss.,Ang proyektong ginawa natin noong nakaraang linggo ay naapprobahanan na ng boss.,12,10,83.3,"proyektong, na-approban"
217,"Kaibat nang mininum gamut, nakaramdam yang kabawasan.","Matapos niyang makainom ng gamot, nakaramdam siya ng ginhawa.",7,6,85.7,kabawasan
218,Obakit e ka pa rin magpadala mensahe king keka mong pamilya?,Bakit hindi ka pa rin nagpapadala ng mensahe sa iyong pamilya?,11,11,100.0,
219,Isalikut mu ring babasaging basu ba silang e mabasa kareng anak.,Itago mo ang mga babasaging baso para hindi mabasag ng mga bata.,11,10,90.9,babasaging
220,"Agyang napagal kami king biyahe, me-enjoy kami pa rin king bakasyon.","Kahit na napagod kami sa biyahe, nag-enjoy pa rin kami sa bakasyon.",11,8,72.7,"napagal, me-enjoy, bakasyon"
221,Ninu ing lalaking makatalakad king lele ning pasbul?,Sino ang lalaking nakatayo sa tabi ng pintuan?,8,8,100.0,
222,Alang ninuman ing makabalu nung kapilan mayari ing kumpuni king dalan.,Walang sinuman ang nakakaalam kung kailan matatapos ang kumpuni sa kalye.,11,10,90.9,kumpuni
223,Mas mabilis yang maglakad i Pedro kaysa kay Juan uling kayaba ring binti na.,Mas mabilis maglakad si Pedro kaysa kay Juan dahil mahaba ang kanyang binti.,14,12,85.7,"kayaba, binti"
224,E pa nabayaran ing bill king kuryente inya naputulan silang sulu.,Hindi pa nababayaran ang bill sa kuryente kaya naputulan sila ng ilaw.,11,9,81.8,"nabayaran, naputulan"
225,Salian daka ng bagong sapatos potang makapasa ka king eksamen.,Bibilhan kita ng bagong sapatos kapag nakapasa ka sa eksamen.,10,7,70.0,"sapatos, makapasa, eksamen"
226,Akalingwan ning drayber ing magkarga gasulino bayu bumyahe.,Nakalimutan ng drayber na magkarga ng gasolina bago bumyahe.,8,5,62.5,"magkarga, gasulino, bumyahe"
227,Ing kompyuter a gagamitan ku king obra mabilis ya at bayu.,Ang kompyuter na ginagamit ko sa trabaho ay mabilis at bago.,11,11,100.0,
228,Ali ka lulumwal king bale kabang e pa titila ing uran.,Huwag kang lalabas ng bahay habang hindi pa tumitila ang ulan.,11,9,81.8,"lulumwal, titila"
229,Magaral yang Ingles aldo-aldo ba yang makapanintun magandang obra.,Nag-aaral siya ng Ingles araw-araw upang makahanap ng magandang trabaho.,9,8,88.9,makapanintun
230,Dakal a taung maghintay king kilwal ning bangko bayu pa ya mambukas.,Maraming taong naghihintay sa labas ng bangko bago pa ito magbukas.,12,10,83.3,"maghintay, mambukas"
231,E ku atanggap ing inaluk dang sweldo uling masyadong mababa.,Hindi ko matanggap ang inalok nilang sweldo dahil masyadong mababa.,10,9,90.0,sweldo
232,Ninu-ninu ring kayabe mung munta king palengke bukas king abak?,Sino-sino ang mga kasama mong pupunta sa palengke bukas ng umaga?,10,10,100.0,
233,"Bagaman mauran ing panahon, tinuloy pa rin ing palaro king barangay.","Bagaman maulan ang panahon, nagpatuloy pa rin ang palaro sa barangay.",11,8,72.7,"bagaman, tinuloy, palaro"
234,Inutos ning doktor a mininum siyang dakal a danum aldo-aldo.,Ipinag-utos ng doktor na uminom siya ng maraming tubig araw-araw.,10,9,90.0,inutos
235,Alang makapigil kekaming magkakaluguran a matupad ing kekaming pangarap.,Walang makakapigil sa aming magkaibigan na matupad ang aming mga pangarap.,9,7,77.8,"makapigil, magkakaluguran"
236,Binuksan ku ing radyo ba kung makiramdam balita tungkol king bagyo.,Binuksan ko ang radyo upang makinig ng balita tungkol sa bagyo.,11,11,100.0,
237,"Nung e ka mag-ingat, baka mawala ing pitaka mu.","Kung hindi ka mag-iingat, baka mawala ang iyong pitaka.",9,8,88.9,mag-ingat
238,Ing kaining inihanda ning apu manyaman ya sadyang-sadya.,Ang pagkaing inihanda ng lola ay napakasarap at malinamnam.,8,5,62.5,"kaining, inihanda, sadyang-sadya"
239,E pa rin daratang ing inorder kung kakanan ibat king restawran.,Hindi pa rin nakakarating ang inorder kong pagkain mula sa restawran.,11,11,100.0,
240,"Kaibat maglinis plato, manalon yang telebisyon king sala.","Matapos maghugas ng plato, nanood siya ng telebisyon sa sala.",8,7,87.5,manalon
241,Isanung sapatos ing gagamitan mu para king kasal king Sabado?,Aling sapatos ang gagamitin mo para sa kasal sa Sabado?,10,9,90.0,sapatos
242,Bisa kaming magpasalamat king sablang minabut tulong.,Nais naming magpasalamat sa lahat ng nag-abot ng tulong.,7,7,100.0,
243,Ali mu ipagkalat ing secret a ipinagkatiwala ku keka.,Huwag mong ipagkalat ang lihim na ipinagkatiwala ko sa iyo.,9,8,88.9,ipagkalat
244,"Kabang magluto ya i Inda, mag-ayos naman ing lamesa i Tata.","Habang nagluluto si Nanay, nag-aayos naman ng hapag-kainan si Tatay.",11,9,81.8,"magluto, mag-ayos"
245,E kami na nakapanood sine uling naubusan na ng tiket.,Hindi na kami nakapanood ng sine dahil naubusan na ng tiket.,10,8,80.0,"nakapanood, naubusan"
246,Atin kung ikit a asung gala a maglakad king arapan ning kekaming gate.,May nakita akong asong gala na naglalakad sa harap ng aming gate.,13,13,100.0,
247,"Nung bisitahan mu kami king Linggo, ipagluto daka ng paborito mung ulam.","Kung bibisitahin mo kami sa Linggo, ipagluluto kita ng paborito mong ulam.",12,11,91.7,ipagluto
248,E tamu pwedeng balewalain ing payu ring kekatamung pengari.,Hindi natin pwedeng balewalain ang payo ng ating mga magulang.,9,8,88.9,balewalain
249,Ing librung iniram ku king aklatan kailangang isubli bukas.,Ang librong hiram ko sa aklatan ay kailangang isauli bukas.,9,8,88.9,iniram
250,"Bayu mayari ing banwa, nagplano silang maglakbay king aliwang bansa.","Bago matapos ang taon, nagplano silang maglakbay sa ibang bansa.",10,9,90.0,nagplano
251,Sanay ne gumising nang maaga uling marayo ing kekang obran.,Sanay na siyang gumising nang maaga dahil malayo ang kanyang pinapasukan.,10,7,70.0,"sanay, maaga, marayo"
252,Obakit e me tinanggap ing aus ibat king bangko kanian abak?,Bakit hindi mo tinanggap ang tawag mula sa bangko kaninang umaga?,11,11,100.0,
253,"Sa tuwing muran, magluto ya i Apu ng mapaling sopas para kekami.","Sa tuwing umuulan, nagluluto si Lola ng mainit na sopas para sa amin.",12,11,91.7,magluto
254,Ala nang natagung kakanan king lamesa uling mengan na ring sabla.,Wala nang natirang pagkain sa mesa dahil kumain na ang lahat.,11,10,90.9,natagung
255,"Agyang nanung kasakit ing pagsusulit, subukan ke pa rin ipasa.","Kahit gaano kahirap ang pagsusulit, susubukan ko pa ring ipasa ito.",10,9,90.0,pagsusulit
256,Ipinasara ning kapitan ing dalan ba lang iwasan ring aksidente.,Ipinasara ng kapitan ang kalsada upang iwasan ang aksidente.,10,9,90.0,ipinasara
257,Mas bisa kung mininum tsaa kaysa magkape potang bengi.,Mas gusto kong uminom ng tsaa kaysa magkape kapag gabi.,9,9,100.0,
258,Ing lalaking mag-ayos sasakyan ya ing tata ning kakuluguran ku.,Ang lalaking nag-aayos ng sasakyan ay ang tatay ng aking kaibigan.,10,7,70.0,"mag-ayos, sasakyan, kakuluguran"
259,Ali mu tatalanan ing kalan uling mapali ya pa.,Huwag mong hawakan ang kalan dahil mainit pa ito.,9,9,100.0,
260,Atin kung ikit a magandang sapatos pero ala kung sapat a pera.,May nakita akong magandang sapatos pero wala akong sapat na pera.,12,11,91.7,sapatos
261,"Bayu ka munta king tindahan, gawan mu pa nung nanu ing kulang.","Bago ka pumunta sa tindahan, tingnan mo muna kung ano ang kulang.",12,12,100.0,
262,E ku namalayan a nakatutok na pala ing camera kanaku.,Hindi ko namalayan na nakatutok na pala ang camera sa akin.,10,9,90.0,namalayan
263,Ninu-ninu ring imbitado king keburitan ning kapatad mu king Linggo?,Sinu-sino ang mga imbitado sa kaarawan ng iyong kapatid sa Linggo?,10,8,80.0,"imbitado, keburitan"
264,Kailangan mung magpahinga nang mayap ba ka gumaling agad.,Kailangan mong magpahinga nang maayos upang gumaling ka agad.,9,7,77.8,"magpahinga, gumaling"
265,Ring anak a maglaro king dalan inaus la ning karelang ima.,Ang mga batang naglalaro sa kalye ay tinawag ng kanilang ina.,11,11,100.0,
266,Alang ninuman ing pwedeng lumub king kwarto nang alang pahintulot.,Walang sinuman ang pwedeng pumasok sa silid nang walang pahintulot.,10,7,70.0,"lumub, kwarto, pahintulot"
267,"Kaibat kung maglinis kotse, maglinis naman kung kwarto.","Pagkatapos kong maghugas ng kotse, naglinis naman ako ng kwarto.",8,7,87.5,kwarto
268,"Nung e sumikan ing uran, tuloy pa rin ing biyahe tamu.","Kung hindi lalakas ang ulan, tutuloy pa rin ang ating biyahe.",11,10,90.9,sumikan
269,E pa rin mayari ning tindero ing mag-ayos kareng paninda.,Hindi pa rin natatapos ng tindero ang pag-aayos ng mga paninda.,10,8,80.0,"tindero, mag-ayos"
270,Nukarin la ring dokumentong kailangan tamung pirmaan ngening gatpanapun?,Nasaan ang mga dokumentong kailangan nating lagdaan ngayong hapon?,9,7,77.8,"dokumentong, pirmaan"
271,Ali ka mag-alala uling sopalan daka king keka mong takdang-aralin.,Huwag kang mag-alala dahil tutulungan kita sa iyong takdang-aralin.,10,8,80.0,"sopalan, takdang-aralin"
272,Ila ring nagdala ng manyaman a kakanan para king salo-salo tamu.,Sila ang nagdala ng masarap na pagkain para sa ating salo-salo.,11,9,81.8,"nagdala, salo-salo"
273,Baka e ku makakayabe king panonood sine king Sabado.,Baka hindi ako makasama sa panonood ng sine sa Sabado.,9,8,88.9,panonood
274,Ing pusa a makakera king sofa mataba ya at matudtud.,Ang pusa na nakahiga sa sofa ay napakataba at matulugin.,10,9,90.0,sofa
275,"Bayu tamu magsimula, pakipatda mu pa ing kekayong cellphone.","Bago tayo magsimula, pakipatay muna ang inyong mga cellphone.",9,7,77.8,"pakipatda, kekayong"
276,Alang makakilala king lalaking linub king opisina kanian.,Walang nakakakilala sa lalaking pumasok sa opisina kanina.,8,8,100.0,
277,"Nung magaral kang mayap, tiyak a makapasa ka king eksamen.","Kung mag-aaral kang mabuti, tiyak na makakapasa ka sa eksamen.",10,8,80.0,"makapasa, eksamen"
278,E ku maibye ing hiningi mu uling ala ku kanini.,Hindi ko maibibigay ang hiningi mo dahil wala ako nito.,10,8,80.0,"maibye, hiningi"
279,"Kabang maghintay bus, magbasa ya i Ana ng libro king phone na.","Habang naghihintay ng bus, nagbabasa si Ana ng libro sa kanyang phone.",12,11,91.7,maghintay
280,Ninu ing meg-wan ng basung danum king babaw ning laptop?,Sino ang nag-iwan ng baso ng tubig sa ibabaw ng laptop?,10,8,80.0,"meg-wan, babaw"
281,Ipinagluto kami ni Inda ng paborito ming meryenda panaktak mi.,Ipinagluto kami ni Nanay ng paborito naming meryenda pagdating namin.,10,8,80.0,"ipinagluto, panaktak"
282,Mas maganda ing tanawin keni kaysa king kabilang bundok.,Mas maganda ang tanawin dito kaysa sa kabilang bundok.,9,8,88.9,tanawin
283,Ali mu kakalingwan magdala ng pambayad king kuryente bukas.,Huwag mong kalimutang magdala ng pambayad sa kuryente bukas.,9,8,88.9,pambayad
284,E pa sasagot ing kliyente king email a ipinadala ku nabang bengi.,Hindi pa sumasagot ang kliyente sa email na ipinadala ko kagabi.,12,10,83.3,"ipinadala, nabang"
285,"Kaibat nang akua ing lisensya na, sinali agad yang motor.","Matapos niyang makuha ang kanyang lisensya, bumili agad siya ng motor.",10,10,100.0,
286,Nukarin mung bisang mangan apunan kaibat ning obra?,Saan mo gustong kumain ng hapunan pagkatapos ng trabaho?,8,8,100.0,
287,Alang masyadong tau king mall uling maaga pa.,Walang masyadong tao sa mall dahil maaga pa.,8,7,87.5,maaga
288,"Nung atin kang kutan, ali ka mag-atubiling magkutan king guro.","Kung may katanungan ka, huwag kang mag-atubiling magtanong sa guro.",10,6,60.0,"kutan, mag-atubiling, magkutan, guro"
289,Ring imalan a ini para kareng naapektuhan ning bagyo.,Ang mga damit na ito ay para sa mga naapektuhan ng bagyo.,9,8,88.9,naapektuhan
290,E tamu matayari ing obra nung e tamu magtulungan.,Hindi natin matatapos ang gawain kung hindi tayo magtutulungan.,9,7,77.8,"matayari, magtulungan"
291,Obakit e ka pa magsalita king manager mu tungkol king sweldo?,Bakit hindi ka pa nakikipag-usap sa iyong manager tungkol sa sweldo?,11,10,90.9,sweldo
292,"Bayu lumub king opisina, kailangang magpa-temperature check ing sabla.","Bago pumasok sa opisina, kailangang magpa-temperature check ang lahat.",9,7,77.8,"lumub, magpa-temperature"
293,Dakal a manyaman a kakanan king lele ning kekaming eskwelahan.,Maraming masasarap na kainan sa tabi ng aming eskwelahan.,10,10,100.0,
294,Ali mu lalewan ing anak nang alang kayabe king bale.,Huwag mong iiwanan ang bata nang walang kasama sa bahay.,10,9,90.0,lalewan
295,Ipinagpaliban ing laro uling king masikan a uran at angin.,Ipinagpaliban ang laro dahil sa malakas na ulan at hangin.,10,9,90.0,ipinagpaliban
296,"Agyang bengi na, maglakad ya pa rin pauli ibat king obra.","Kahit na gabi na, naglalakad pa rin siya pauwi galing sa trabaho.",11,11,100.0,
297,Ninu ing nagpadala keka ng magandang bulaklak a yan?,Sino ang nagpadala sa iyo ng magagandang bulaklak na iyan?,9,8,88.9,nagpadala
298,"Nung ayari tamu ini agad, makapanood tamung sine pota.","Kung matatapos natin ito agad, makakapanood tayo ng sine mamaya.",9,8,88.9,makapanood
299,E ku nagustuhan ing rasa ning kakanan in-order mu king app.,Hindi ko nagustuhan ang lasa ng pagkaing in-order mo sa app.,11,8,72.7,"nagustuhan, rasa, in-order"
300,Ring librung ini kailangang isubli king aklatan bayu mag-Biyernes.,Ang mga librong ito ay kailangang ibalik sa aklatan bago mag-Biyernes.,9,8,88.9,mag-biyernes
301,E ku napanood ing tawling dake ning sine uling mekatudtud ku.,Hindi ko napanood ang huling bahagi ng sine dahil nakatulog ako.,11,9,81.8,"napanood, mekatudtud"
302,Subukan mung buksan pasibayu ing laptop kaibat mung i-charge ng apulung minuto.,Subukang buksan uli ang laptop pagkatapos mong i-charge nang sampung minuto.,12,10,83.3,"buksan, i-charge"
303,Ninu ing tinawag keka kabang magmaneho ka?,Sino ang tumawag sa iyo habang nagmamaneho ka?,7,6,85.7,magmaneho
304,Baka e daratang ing parcel ngening aldo uling muran.,Baka hindi dumating ang parcel ngayong araw dahil umuulan.,9,9,100.0,
305,Ing gamut a inireseta ning doktor kailangang inuman kaibat mangan.,Ang gamot na inireseta ng doktor ay kailangang inumin pagkatapos kumain.,10,9,90.0,inireseta
306,Alang signal ing cellphone ku inya e daka ma-text.,Walang signal ang cellphone ko kaya hindi kita ma-text.,9,8,88.9,ma-text
307,Mas mayap nung magdala kang payung ba ka e mabasa.,Mas maganda kung magdadala ka ng payong para hindi ka mabasa.,10,10,100.0,
308,Kapilan mu isubli ing librung iniram mu kanaku?,Kailan mo ibabalik ang librong hiniram mo sa akin?,8,7,87.5,iniram
309,E pa nakakabit ing bayung Wi-Fi king kekaming bale.,Hindi pa nakakabit ang bagong Wi-Fi sa aming bahay.,9,8,88.9,nakakabit
310,"Kabang maghintay kaming jeep, mengan kami pa ng meryenda.","Habang naghihintay kami ng jeep, kumain muna kami ng meryenda.",9,8,88.9,maghintay
311,Ipinasa ne ing report bayu ing deadline agyang dakal ya gawan.,Ipinasa niya ang report bago ang deadline kahit marami siyang ginagawa.,11,10,90.9,ipinasa
312,Atin meg-wan ng basung kape king lele ning keyboard.,May nag-iwan ng baso ng kape sa tabi ng keyboard.,9,8,88.9,meg-wan
313,Ali mu kakalingwan i-lock ing pasbul bayu ka matudtud.,Huwag mong kalimutang i-lock ang pinto bago ka matulog.,9,9,100.0,
314,"Nung atin kang oras ngening gatpanapun, pwede daka bang kausap?","Kung may oras ka ngayong hapon, pwede ba kitang makausap?",10,9,90.0,kausap
315,Ing restawran a pinakainan tamu ketang metung a duminggu makasara ne.,Ang restawran na pinakainan natin noong isang linggo ay sarado na.,11,10,90.9,pinakainan
316,E ku makamunta king party uling kailangan kung mag-alaga king kapatad ku.,Hindi ako makakapunta sa party dahil kailangan kong mag-alaga ng kapatid ko.,12,10,83.3,"makamunta, mag-alaga"
317,Obakit ali mu bisang kahanan ing gulay a linuto ni Inda?,Bakit ayaw mong kainin ang gulay na niluto ni Nanay?,11,8,72.7,"kahanan, gulay, linuto"
318,"Kaibat maglinis kwarto, megaral ya agad para king pagsusulit.","Pagkatapos maglinis ng kwarto, nag-aral agad siya para sa pagsusulit.",9,7,77.8,"kwarto, pagsusulit"
319,Dakal a taung pumila ba silang sali ng bayung model ning phone.,Maraming taong pumila para bumili ng bagong model ng phone.,12,12,100.0,
320,"Ali ka mag-alala, e ku sabyan agyang kaninu ing sinabi mu.","Huwag kang mag-alala, hindi ko sasabihin kahit kanino ang sinabi mo.",11,11,100.0,
321,Naibenta ne ba ing lumang kotse a nakaparada king garahe?,Naibenta na ba ang lumang kotse na nakaparada sa garahe?,10,7,70.0,"naibenta, nakaparada, garahe"
322,"Nung makatanggap kung maaga, ihanda ku ring gagamitan king meeting.","Kung makakarating ako nang maaga, ihahanda ko ang mga gagamitin sa meeting.",10,8,80.0,"maaga, ihanda"
323,E mi kayang ayari ing sablang obra nang mag-isa mu.,Hindi namin kayang tapusin ang lahat ng trabaho nang mag-isa lang.,10,9,90.0,mag-isa
324,Obakit e ka pa magpalit ng imalan kaibat mung mag-ehersisyo?,Bakit hindi ka pa nagpapalit ng damit pagkatapos mong mag-ehersisyo?,10,9,90.0,mag-ehersisyo
325,Ing gurong magturo ng Matematika mabait ya sadyang-sadya kareng estudyante.,Ang guro na nagtuturo ng Matematika ay napakamabait sa mga mag-aaral.,10,8,80.0,"gurong, sadyang-sadya"
326,Ipinagluto kami ning kekaming tita ng manyaman a tanghali ketang Linggo.,Ipinagluto kami ng aming tita ng masarap na tanghalian noong Linggo.,11,9,81.8,"ipinagluto, tanghali"
327,Alang available a mesa king kilub inya king kilwal kami megluklok.,Walang available na mesa sa loob kaya sa labas kami umupo.,11,10,90.9,megluklok
328,Ali mu lalewan ing asu a lumwal king bakuran.,Huwag mong hahayaan ang aso na lumabas ng bakuran.,9,8,88.9,lalewan
329,"Kabang mag-inspeksyon ing boss, mabilis lang megligpit ng gamit ring empleyado.","Habang nag-iinspeksyon ang boss, mabilis na nagligpit ng gamit ang mga empleyado.",11,9,81.8,"mag-inspeksyon, megligpit"
330,Baka akalingwan mung dalan ing passport mu potang magmadali ka.,Baka makalimutan mong dalhin ang passport mo kapag nagmadali ka.,10,9,90.0,magmadali
331,Ninu ing may-ari ning matuling a bag a lewan king luklukan?,Sino ang may-ari ng itim na bag na naiwan sa upuan?,11,10,90.9,lewan
332,"Bayu kami lumipat king bayung bale, nagbawas kami pa ng lumang gamit.","Bago kami lumipat sa bagong bahay, nagbawas muna kami ng lumang gamit.",12,11,91.7,nagbawas
333,E ne nagustuhan ning customer ing serbisyo king hotel inya megreklamo ya.,Hindi nagustuhan ng customer ang serbisyo sa hotel kaya nagreklamo siya.,12,10,83.3,"nagustuhan, megreklamo"
334,"Bagaman bengi na, dakal pa ring sasakyan ing daralan king highway.","Bagaman gabi na, marami pa ring sasakyan ang dumadaan sa highway.",11,9,81.8,"bagaman, sasakyan"
335,Kailangan mung ipasa ring papeles bayu mag-alas singko ning gatpanapun.,Kailangan mong ipasa ang mga papeles bago mag-alas singko ng hapon.,10,10,100.0,
336,Ing anak a nawalan ng baon sinopan ne ning kekang kaklase.,Ang bata na nawalan ng baon ay tinulungan ng kanyang kaklase.,11,10,90.9,nawalan
337,Ali ka magdala ng dakal a gamit ba ka e mabigatan.,Huwag kang magdadala ng maraming gamit para hindi ka mabigatan.,11,10,90.9,mabigatan
338,Akalingwan ku nung nukarin ke inabili ing resibo ning sinali kung gamut.,Nakalimutan ko kung saan ko itinago ang resibo ng binili kong gamot.,12,11,91.7,inabili
339,Mas mabilis sumakai king tren kaysa mag-bus potang rush hour.,Mas mabilis sumakay ng tren kaysa mag-bus kapag rush hour.,10,8,80.0,"sumakai, mag-bus"
340,Ala kaming maipangakong tulong habang e pa sigurado ing badyet.,Wala kaming maipapangakong tulong hangga't hindi pa sigurado ang badyet.,10,8,80.0,"maipangakong, badyet"
