item_num,category,kapampangan,filipino_tagalog,english_gloss,grammatical_feature_as_labeled,reviewer_verdict,reviewer_notes
137,"Workplace, Technology & Remote Work",Inilipat ing oras ning kekaming pagpupulong king ganap a alas tres ning gatpanapun.,Inilipat ang oras ng aming pagpupulong sa ganap na alas tres ng hapon.,Our meeting time was moved to exactly three o'clock in the afternoon.,,,
138,"Workplace, Technology & Remote Work",Gagamitan tamu ing bayung aplikasyon para king pamagsubaybay king kekaming proyekto.,Gagamitin natin ang bagong aplikasyon para sa pagsubaybay sa aming mga proyekto.,We will use the new application for tracking our project progress.,,,
139,"Workplace, Technology & Remote Work",E gagana ing printer king ikatlong palapag kaya king lalam ku nagpalimbag.,Hindi gumagana ang printer sa ikatlong palapag kaya sa baba ako nagpalimbag.,"The printer on the third floor isn't working, so I printed downstairs.",,,
140,"Workplace, Technology & Remote Work",Paki-attach ing resume at cover letter king kekang aplikasyon.,Paki-attach ang resume at cover letter sa iyong aplikasyon.,Please attach your resume and cover letter to your application.,,,
141,"Workplace, Technology & Remote Work",Megpadala ya i boss paalala tungkul king deadline ning kekatamung proyekto.,Nagpadala si boss ng paalala tungkol sa deadline ng ating proyekto.,The boss sent a reminder regarding our project deadline.,,,
142,"Workplace, Technology & Remote Work",Mabilis ing internet speed king bayung opisina kumpara king sadya gusali.,Mabilis ang internet speed sa bagong opisina kumpara sa dating gusali.,The internet speed in the new office is fast compared to the old building.,,,
143,"Workplace, Technology & Remote Work",I-download mu muna ing aplikasyon bayu ka magrehistro ning account.,I-download mo muna ang aplikasyon bago ka magrehistro ng account.,Download the application first before registering an account.,,,
144,"Workplace, Technology & Remote Work",Kalingwan ku ing password ning kakung email kaya kailangan ku itong i-reset.,Nakalimutan ko ang password ng aking email kaya kailangan ko itong i-reset.,"I forgot my email password, so I need to reset it.",,,
145,"Workplace, Technology & Remote Work",Nagkaroon kaming maikling oryentasyon para kadagting bayung empleyado.,Nagkaroon kami ng maikling oryentasyon para sa mga bagong empleyado.,We had a short orientation for the new employees.,,,
146,"Workplace, Technology & Remote Work",Masanting ing ibinigay a feedback ning kliyente king kekatamung huling ulat.,Maganda ang ibinigay na feedback ng kliyente sa ating huling ulat.,The client provided good feedback on our latest report.,,,
147,"Workplace, Technology & Remote Work",Pakisara ing laptop pagka-yari mung gamitan ban makatipid king baterya.,Pakisara ang laptop pagkatapos mong gamitin para makatipid sa baterya.,Please close the laptop after use to save battery power.,,,
148,"Workplace, Technology & Remote Work",Naka-record ing buung online conference para kadagting e nakadalo.,Naka-record ang buong online conference para sa mga hindi nakadalo.,The entire online conference was recorded for those who could not attend.,,,
149,"Workplace, Technology & Remote Work",Kailangan tamung linawin ding probisyon king kontrata bayu tamu ini pirmahan.,Kailangan nating linawin ang mga probisyon sa kontrata bago natin ito pirmahan.,We need to clarify the provisions in the contract before signing it.,,,
150,"Workplace, Technology & Remote Work",Inayos ning IT team ing problema king server king kilub mu ning panying oras.,Inayos ng IT team ang problema sa server sa loob lamang ng isang oras.,The IT team resolved the server issue within just one hour.,,,
151,"Travel, Commuting & Navigation",Magkanu ing pamasahe ibat keni anggang SM Pampanga?,Magkano ang pamasahe mula rito papuntang SM Pampanga?,How much is the fare from here to SM Pampanga?,,,
152,"Travel, Commuting & Navigation",Sumakay kami king jeep papuntang palengke ban sumali king prutas.,Sumakay kami ng jeep papuntang palengke para bumili ng mga prutas.,We rode a jeepney to the market to buy fruits.,,,
153,"Travel, Commuting & Navigation",Nukarin ing sakayan ning bus papuntang Maynila?,Saan ang sakayan ng bus papuntang Maynila?,Where is the bus terminal bound for Manila?,,,
154,"Travel, Commuting & Navigation",Lumiko ka king kaili pagdatang mu king tutuntung kanto.,Lumiko ka sa kaliwa pagdating mo sa kasunod na kanto.,Turn left when you reach the next corner.,,,
155,"Travel, Commuting & Navigation",Malapit ya mu ing istasyon ning tren ibat king kekaming opisina.,Malapit lang ang istasyon ng tren mula sa aming opisina.,The train station is quite close to our office.,,,
156,"Travel, Commuting & Navigation",Nalate kami king biyahe uling king matindi trapiko king express way.,Nalate kami sa biyahe dahil sa matinding trapiko sa express way.,We were late for the trip because of heavy traffic on the expressway.,,,
157,"Travel, Commuting & Navigation",Mag-ingat ka king pamagtawid king dalan lalo na nung bengi.,Mag-ingat ka sa pagtawid sa kalsada lalo na kapag gabi.,"Be careful crossing the street, especially at night.",,,
158,"Travel, Commuting & Navigation",Pilang oras ing biyahe ibat Angeles papuntang Baguio?,Ilang oras ang biyahe mula Angeles papuntang Baguio?,How many hours is the journey from Angeles to Baguio?,,,
159,"Travel, Commuting & Navigation",Pumara ka king tabi ning gasolinahan pagdatang tamu karin.,Pumara ka sa tabi ng gasolinahan pagdating natin doon.,Signal to stop beside the gas station when we reach there.,,,
160,"Travel, Commuting & Navigation",Kalingwan ku ing kakung pamasahe king bale kaya nagbalik ku.,Nakalimutan ko ang aking pamasahe sa bahay kaya bumalik ako.,"I forgot my fare money at home, so I went back.",,,
161,"Travel, Commuting & Navigation",Sumakay kaming tricycle uling masyadong malayu nung lalakaran.,Sumakay kami ng tricycle dahil masyadong malayo kung lalakarin.,We took a tricycle because it was too far to walk.,,,
162,"Travel, Commuting & Navigation",Diretsuwan mu ing dalan a ini anggang akit mu ing simbahan.,Diretsuhin mo ang daang ito hanggang makita mo ang simbahan.,Go straight down this road until you see the church.,,,
163,"Travel, Commuting & Navigation",Atiu king arap ning pampublikong palengke ing paradahan ning jeep.,Nasa harap ng pampublikong palengke ang paradahan ng jeep.,The jeepney terminal is in front of the public market.,,,
164,"Travel, Commuting & Navigation",Na-delay ing lipad ning kekaming eroplano uling king masakit a panahon.,Na-delay ang lipad ng aming eroplano dahil sa masamang panahon.,Our flight was delayed due to bad weather.,,,
165,"Travel, Commuting & Navigation",Kailangan tamung sumali tiket bayu lumub king istasyon ning tren.,Kailangan nating bumili ng tiket bago pumasok sa istasyon ng tren.,We need to buy tickets before entering the train station.,,,
166,"Travel, Commuting & Navigation",Meg-book kung saskyan gamit ing ride-hailing app king kakung telepono.,Nag-book ako ng sasakyan gamit ang ride-hailing app sa aking telepono.,I booked a ride using the ride-hailing app on my phone.,,,
167,"Travel, Commuting & Navigation",Atin gaganapan a dalan kaya mabagal ing daloy ning saskyan.,May ginagawang kalsada kaya mabagal ang daloy ng mga sasakyan.,"There is road construction, so traffic movement is slow.",,,
168,"Travel, Commuting & Navigation",Nukarin ing pekamalapit a gasoline station king lugar a ini?,Saan ang pinakamalapit na gasoline station sa lugar na ito?,Where is the nearest gasoline station in this area?,,,
169,"Travel, Commuting & Navigation",Sumakay la king huling biyahe ning bus napun bengi ban makamuli.,Sumakay sila sa huling biyahe ng bus kagabi para makauwi.,They took the last bus trip last night to get home.,,,
170,"Travel, Commuting & Navigation",Mawala ing kakung pitaka kabang sasakay king pampublikong saskyan.,Nawala ang aking pitaka habang sumasakay sa pampublikong sasakyan.,I lost my wallet while riding public transportation.,,,
171,"Travel, Commuting & Navigation",Ihanda mu ing kekang barya para king pamasahe bayu sumakay.,Ihanda mo ang iyong barya para sa pamasahe bago sumakay.,Prepare your loose coins for the fare before boarding.,,,
172,"Travel, Commuting & Navigation",Atin alternatibong dalan wari ban maiwasan ing trapiko king highway?,May alternatibong daan ba upang maiwasan ang trapiko sa highway?,Is there an alternate route to avoid traffic on the highway?,,,
173,"Travel, Commuting & Navigation",Miras kami king kekaming destinasyon nang ligtas at maayos.,Nakarating kami sa aming destinasyon nang ligtas at maayos.,We arrived at our destination safely and smoothly.,,,
174,"Travel, Commuting & Navigation",Lumawe ka king kaili at wanan bayu ka tumawid king dalan.,Tumingin ka sa kaliwa at kanan bago ka tumawid sa kalsada.,Look left and right before crossing the street.,,,
175,"Travel, Commuting & Navigation",Mas mabilis ing lakad nung gumamit kang shortcut king looban.,Mas mabilis ang lakad kapag gumagamit ka ng shortcut sa looban.,Walking is faster if you use the shortcut through the inner streets.,,,
176,"Health, Weather, Food & Environment",Minum kang dakal a danum at magpaynawa ka ban kumayap ing lagnat mu.,Uminom ka ng maraming tubig at magpahinga ka para gumaling ang lagnat mo.,Drink plenty of water and rest so that your fever improves.,,,
177,"Health, Weather, Food & Environment",Masyadong mapali ing panahon ngeni kaya mas masanting manatili king kilub bale.,Sobrang init ng panahon ngayon kaya mas magandang manatili sa loob ng bahay.,"The weather is extremely hot today, so it's better to stay inside the house.",,,
178,"Health, Weather, Food & Environment","Baka muran potang gatpanapun, kaya magdala kang payung.","Baka umulan mamayang hapon, kaya magdala ka ng payong.","It might rain later this afternoon, so bring an umbrella with you.",,,
179,"Health, Weather, Food & Environment",Minta ya king ospital inyang milabas a linggu ban magpacheck-up.,Pumunta siya sa ospital noong isang linggo para magpacheck-up.,She went to the hospital last week for a medical check-up.,,,
180,"Health, Weather, Food & Environment",Manyaman maglakad-lakad king parke nung maaliwalas ing banua.,Masarap maglakad-lakad sa parke kapag maaliwalas ang kalangitan.,It is pleasant to take a walk in the park when the sky is clear.,,,
181,"Health, Weather, Food & Environment",Kailangan tamung mangan masustansyang pamangan ban lumakas ing kekatamung katawan.,Kailangan nating kumain ng masustansyang pagkain upang lumakas ang ating katawan.,We need to eat nutritious food to strengthen our bodies.,,,
182,"Health, Weather, Food & Environment",Minum yang gamot pagka-yari mangan apagto.,Uminom siya ng gamot pagkatapos kumain ng tanghalian.,He took medicine after eating lunch.,,,
183,"Health, Weather, Food & Environment",Napakamarim ning angin ibat king bundok balang maagang abak.,Napakalamig ng hangin mula sa bundok tuwing maagang umaga.,The breeze from the mountain is very cool early in the morning.,,,
184,"Health, Weather, Food & Environment",Meglinis kaming mula ban maiwasan ing pagdami ning lamok.,Naglinis kami ng bakuran upang maiwasan ang pagdami ng lamok.,We cleaned the yard to prevent mosquitoes from multiplying.,,,
185,"Health, Weather, Food & Environment",Magdala kang jacket uling marim king kilub ning silid-aralan.,Magdala ka ng jacket dahil malamig sa loob ng silid-aralan.,Bring a jacket because it is cold inside the classroom.,,,
186,"Health, Weather, Food & Environment",Masustansya ding sariwang gule a nabili tamu king pamilihan.,Masustansya ang mga sariwang gulay na nabili natin sa pamilihan.,The fresh vegetables we bought at the market are nutritious.,,,
187,"Health, Weather, Food & Environment",Sumakit ing kayang atyan uling king kinain niyang maanghang a pamangan.,Sumakit ang kanyang tiyan dahil sa kinain niyang maanghang na pagkain.,His stomach ached because of the spicy food he ate.,,,
188,"Health, Weather, Food & Environment",Magsuot silang raincoat uling king masikan a buhos ning uran.,Nagsuot sila ng raincoat dahil sa malakas na buhos ng ulan.,They wore raincoats because of the heavy downpour.,,,
189,"Health, Weather, Food & Environment",Ipinayo ning doktor na mag-ehersisyo kami ng tatlong beses king panying linggu.,Ipinayo ng doktor na mag-ehersisyo kami ng tatlong beses sa isang linggo.,The doctor advised us to exercise three times a week.,,,
190,"Health, Weather, Food & Environment",Megtanim kaming punong-kahoy king gilid ning bundok ban maiwasan ing albug.,Nagtanim kami ng mga punong-kahoy sa gilid ng bundok upang maiwasan ang baha.,We planted trees on the mountainside to prevent flooding.,,,
191,"Health, Weather, Food & Environment",Mabango ing amoy ning bulaklak a namumukadkad king hardin.,Mabango ang amoy ng mga bulaklak na namumukadkad sa hardin.,The flowers blooming in the garden smell sweet.,,,
192,"Health, Weather, Food & Environment",Kailangan mung matudtud walong oras balang bengi para king kekang kalusugan.,Kailangan mong matulog nang walong oras bawat gabi para sa iyong kalusugan.,You need to sleep eight hours every night for your health.,,,
193,"Health, Weather, Food & Environment",Maliwanag ing sikat ning aldo kaya mabilis dang natuyo ding imalan.,Maliwanag ang sikat ng araw kaya mabilis na natuyo ang mga damit.,"The sunshine was bright, so the clothes dried quickly.",,,
194,"Health, Weather, Food & Environment",Iwasan ing masyadong matatamis a inumin ban e tumaas ing sugar level.,Iwasan ang masyadong matatamis na inumin para hindi tumaas ang sugar level.,Avoid overly sweet drinks to keep your sugar level from rising.,,,
195,"Health, Weather, Food & Environment",Masanting magpa-checkup king dentista aduang beses king panying banua.,Magandang magpa-checkup sa dentista dalawang beses sa isang taon.,It is good to get a checkup with the dentist twice a year.,,,
196,"Health, Weather, Food & Environment",Umihip ing masikan a angin bayu dumatang ing bagyo.,Umihip ang malakas na hangin bago dumating ang bagyo.,Strong winds blew before the typhoon arrived.,,,
197,"Health, Weather, Food & Environment",Manyaman minum mainit a tsokolate nung maulan ing panahon.,Masarap uminom ng mainit na tsokolate kapag maulan ang panahon.,It is nice to drink hot chocolate when the weather is rainy.,,,
198,"Health, Weather, Food & Environment",Meglagay kaming sunscreen bayu muna king dalampasigan.,Naglagay kami ng sunscreen bago pumunta sa dalampasigan.,We applied sunscreen before going to the beach.,,,
199,"Health, Weather, Food & Environment",Inalilan ning doktor ing reseta ning kayang gamot king mata.,Pinalitan ng doktor ang reseta ng kanyang gamot sa mata.,The doctor changed his eye medication prescription.,,,
200,"Health, Weather, Food & Environment",Ing malinis a angin king lalawigan ay nakakatulong king mabilis a pamagkayap.,Ang malinis na hangin sa lalawigan ay nakakatulong sa mabilis na paggaling.,The clean air in the countryside helps with fast recovery.,,,
201,Extended batch (201-300),E ku makatipa king pamiantabe bukas uling atin kung mahalagang kailangang ayari.,Hindi ako makakadalo sa pagpupulong bukas dahil may mahalaga akong kailangang tapusin.,I won't be able to attend the meeting tomorrow because I have something important to finish.,Potential Negation (*E ku maka-*) + Causal Clause (*uling*),,
202,Extended batch (201-300),Ikit me ba ing susi a lewan ku king babaw ning lamesa?,Nakita mo ba ang susi na iniwan ko sa ibabaw ng lamesa?,Did you see the key that I left on top of the table?,Interrogative Portmanteau (*Ikit me*) + Relative Clause (*a lewan ku*),,
203,Extended batch (201-300),"Bayu linub ing guro, manalon la ring estudyante king video king karelang cellphone.","Bago pumasok ang guro, nanonood ang mga estudyante ng video sa kanilang cellphone.","Before the teacher entered, the students were watching videos on their cellphones.",Temporal Subordination (*Bayu*) + Imperfective Aspect (*manalon la*),,
204,Extended batch (201-300),Alang kuryente king kekaming barangay ketang metung a bengi inya e kami nakapagaral.,Walang kuryente sa aming barangay noong isang gabi kaya hindi kami nakapag-aral.,"There was no electricity in our village the other night, so we couldn't study.",Existential Negation (*Alang*) + Resultative Conjunction (*inya*),,
205,Extended batch (201-300),"Nung atin kang kailangan, sabyan mu agad kanaku ba daka asopan.","Kung may kailangan ka, sabihin mo agad sa akin para matulungan kita.","If you need anything, tell me right away so I can help you.",Conditional Clause (*Nung*) + Purpose Clause (*ba daka*),,
206,Extended batch (201-300),Ing kotse a sinali ning kapatad ku matipid ya king gasolina.,Ang kotse na binili ng kapatid ko ay napakatipid sa gasolina.,The car that my sibling bought is very fuel-efficient.,Relative Clause Modification + Stative/Adjectival Predicate,,
207,Extended batch (201-300),Ali mu bubuksan ing awang kabang muran nang masikan.,Huwag mong buksan ang bintana habang umuulan nang malakas.,Don't open the window while it is raining hard.,Prohibitive Negation (*Ali mu*) + Simultaneous Temporal Clause (*kabang*),,
208,Extended batch (201-300),E ne pekibatan ing telepono agyang limang beses kung tinawag.,Hindi niya sinagot ang telepono kahit limang beses akong tumawag.,He didn't answer the phone even though I called five times.,Verbal Negation + Portmanteau Pronoun (*E ne*) + Concessive Clause (*agyang*),,
209,Extended batch (201-300),Mas bisa kung maglakad pauli kaysa sumakai king bus nung gatpanapun.,Mas gusto kong maglakad pauwi kaysa sumakay ng bus kapag hapon.,I prefer walking home rather than taking the bus in the afternoon.,Comparative Preference (*Mas bisa*) + Temporal Condition (*nung*),,
210,Extended batch (201-300),Ila ring taung sinopa kekami nang masira ing sasakyan mi.,Sila ang mga taong tumulong sa amin nang masira ang aming sasakyan.,They are the people who helped us when our vehicle broke down.,Focus Relative Clause (*taung sinopa*) + Temporal Subordinator (*nang*),,
211,Extended batch (201-300),Kailangan tamung mako nang maaga ba tayung e abutanan ning trapik.,Kailangan nating umalis nang maaga upang hindi tayo maabutan ng trapik.,We need to leave early so that we won't get caught in traffic.,Obligational Predicate + Purpose Clause (*ba*) + Negative Potential,,
212,Extended batch (201-300),Magluto ya i Maria ning apunan samantalang maglinis ya king bakuran i Juan.,Nagluluto si Maria ng hapunan samantalang naglilinis ng bakuran si Juan.,Maria is cooking dinner while Juan is cleaning the yard.,Compound Sentence + Concurrent Temporal Conjunction (*samantalang*),,
213,Extended batch (201-300),Atin bang makatagung pera king lalam ning palaman a yan?,May nakatagong pera ba sa ilalim ng unan na iyan?,Is there money hidden under that pillow?,Existential Interrogative (*Atin ba*) + Stative Modifier (*makatagu*),,
214,Extended batch (201-300),Kabud ku pa mengan tanghali nang dinatang ing bisita.,Kakakain ko lang ng tanghalian nang dumating ang bisita.,I had just eaten lunch when the guest arrived.,Recent Perfective Aspect (*Kabud ku pa*) + Subordinate Event,,
215,Extended batch (201-300),E ku atandanan nung nukarin ke inabili ing salamin ku.,Hindi ko maaalala kung saan ko nailagay ang aking salamin.,I can't remember where I placed my glasses.,Mental Inability Negation (*E ku atandanan*) + Embedded Indirect Question,,
216,Extended batch (201-300),Ing proyektong gewa tamu ketang metung a duminggu na-approban ne ning boss.,Ang proyektong ginawa natin noong nakaraang linggo ay naapprobahanan na ng boss.,The project we made last week has already been approved by the boss.,Patient Focus Perfective (*gewa tamu*) + Ergative Clitic (*ne*),,
217,Extended batch (201-300),"Kaibat nang mininum gamut, nakaramdam yang kabawasan.","Matapos niyang makainom ng gamot, nakaramdam siya ng ginhawa.","After he took the medicine, he felt some relief.",Sequential Temporal Clause (*Kaibat na*) + Inchoative State,,
218,Extended batch (201-300),Obakit e ka pa rin magpadala mensahe king keka mong pamilya?,Bakit hindi ka pa rin nagpapadala ng mensahe sa iyong pamilya?,Why haven't you sent a message to your family yet?,Interrogative Reason (*Obakit*) + Aspectual Negation (*e ka pa*),,
219,Extended batch (201-300),Isalikut mu ring babasaging basu ba silang e mabasa kareng anak.,Itago mo ang mga babasaging baso para hindi mabasag ng mga bata.,Hide the fragile glasses so the children won't break them.,Imperative Object Focus (*Isalikut mu*) + Negative Result Clause,,
220,Extended batch (201-300),"Agyang napagal kami king biyahe, me-enjoy kami pa rin king bakasyon.","Kahit na napagod kami sa biyahe, nag-enjoy pa rin kami sa bakasyon.","Even though we were tired from the trip, we still enjoyed the vacation.",Concessive Clause (*Agyang*) + Experiencer Predicate,,
221,Extended batch (201-300),Ninu ing lalaking makatalakad king lele ning pasbul?,Sino ang lalaking nakatayo sa tabi ng pintuan?,Who is the man standing next to the door?,Interrogative Identity (*Ninu*) + Stative Posture (*makatalakad*),,
222,Extended batch (201-300),Alang ninuman ing makabalu nung kapilan mayari ing kumpuni king dalan.,Walang sinuman ang nakakaalam kung kailan matatapos ang kumpuni sa kalye.,Nobody knows when the road repairs will be finished.,Universal Negative Subject (*Alang ninuman*) + Embedded Clause,,
223,Extended batch (201-300),Mas mabilis yang maglakad i Pedro kaysa kay Juan uling kayaba ring binti na.,Mas mabilis maglakad si Pedro kaysa kay Juan dahil mahaba ang kanyang binti.,Pedro walks faster than Juan because his legs are long.,Comparative Degree (*Mas*) + Causal Clause (*uling*),,
224,Extended batch (201-300),E pa nabayaran ing bill king kuryente inya naputulan silang sulu.,Hindi pa nababayaran ang bill sa kuryente kaya naputulan sila ng ilaw.,"The electric bill hasn't been paid yet, so their power was cut off.",Aspectual Negation (*E pa*) + Causal Resultative (*inya*),,
225,Extended batch (201-300),Salian daka ng bagong sapatos potang makapasa ka king eksamen.,Bibilhan kita ng bagong sapatos kapag nakapasa ka sa eksamen.,I will buy you new shoes once you pass the exam.,Benefactive Portmanteau (*Salian daka*) + Future Condition (*potang*),,
226,Extended batch (201-300),Akalingwan ning drayber ing magkarga gasulino bayu bumyahe.,Nakalimutan ng drayber na magkarga ng gasolina bago bumyahe.,The driver forgot to refuel before departing.,Involuntary Aspect (*Akalingwan*) + Infinitive Complement,,
227,Extended batch (201-300),Ing kompyuter a gagamitan ku king obra mabilis ya at bayu.,Ang kompyuter na ginagamit ko sa trabaho ay mabilis at bago.,The computer that I use at work is fast and new.,Relative Clause Modifier + Compound Predicate,,
228,Extended batch (201-300),Ali ka lulumwal king bale kabang e pa titila ing uran.,Huwag kang lalabas ng bahay habang hindi pa tumitila ang ulan.,Don't go outside while the rain hasn't stopped yet.,Prohibitive (*Ali ka*) + Negative Temporal Condition (*kabang e pa*),,
229,Extended batch (201-300),Magaral yang Ingles aldo-aldo ba yang makapanintun magandang obra.,Nag-aaral siya ng Ingles araw-araw upang makahanap ng magandang trabaho.,She studies English every day in order to find a good job.,Habitual Imperfective + Purpose Clause (*ba yang*),,
230,Extended batch (201-300),Dakal a taung maghintay king kilwal ning bangko bayu pa ya mambukas.,Maraming taong naghihintay sa labas ng bangko bago pa ito magbukas.,Many people were waiting outside the bank even before it opened.,Existential Quantifier (*Dakal*) + Antecedent Temporal Clause (*bayu pa*),,
231,Extended batch (201-300),E ku atanggap ing inaluk dang sweldo uling masyadong mababa.,Hindi ko matanggap ang inalok nilang sweldo dahil masyadong mababa.,I couldn't accept the salary they offered because it was too low.,Inability Negation (*E ku atanggap*) + Reason Clause (*uling*),,
232,Extended batch (201-300),Ninu-ninu ring kayabe mung munta king palengke bukas king abak?,Sino-sino ang mga kasama mong pupunta sa palengke bukas ng umaga?,Who are the people going with you to the market tomorrow morning?,Plural Interrogative (*Ninu-ninu*) + Future Locative Direction,,
233,Extended batch (201-300),"Bagaman mauran ing panahon, tinuloy pa rin ing palaro king barangay.","Bagaman maulan ang panahon, nagpatuloy pa rin ang palaro sa barangay.","Although the weather was rainy, the village sports event still continued.",Formal Concessive Subordinator (*Bagaman*) + Continuous Aspect,,
234,Extended batch (201-300),Inutos ning doktor a mininum siyang dakal a danum aldo-aldo.,Ipinag-utos ng doktor na uminom siya ng maraming tubig araw-araw.,The doctor instructed him to drink plenty of water every day.,Mandative Complement Clause + Frequency Adverbial,,
235,Extended batch (201-300),Alang makapigil kekaming magkakaluguran a matupad ing kekaming pangarap.,Walang makakapigil sa aming magkaibigan na matupad ang aming mga pangarap.,Nothing can stop us friends from achieving our dreams.,Existential Negation + Potential Infinitive Complement,,
236,Extended batch (201-300),Binuksan ku ing radyo ba kung makiramdam balita tungkol king bagyo.,Binuksan ko ang radyo upang makinig ng balita tungkol sa bagyo.,I turned on the radio so that I could listen to news about the typhoon.,Volitional Action + Intentional Purpose Subordinator (*ba kung*),,
237,Extended batch (201-300),"Nung e ka mag-ingat, baka mawala ing pitaka mu.","Kung hindi ka mag-iingat, baka mawala ang iyong pitaka.","If you are not careful, your wallet might get lost.",Negative Condition (*Nung e ka*) + Epistemic Possibility (*baka*),,
238,Extended batch (201-300),Ing kaining inihanda ning apu manyaman ya sadyang-sadya.,Ang pagkaing inihanda ng lola ay napakasarap at malinamnam.,The food prepared by grandmother is extremely delicious and flavorful.,Patient Focus Relative Clause + Intensified Adjective,,
239,Extended batch (201-300),E pa rin daratang ing inorder kung kakanan ibat king restawran.,Hindi pa rin nakakarating ang inorder kong pagkain mula sa restawran.,The food I ordered from the restaurant still hasn't arrived.,Aspectual Continuous Negation (*E pa rin daratang*),,
240,Extended batch (201-300),"Kaibat maglinis plato, manalon yang telebisyon king sala.","Matapos maghugas ng plato, nanood siya ng telebisyon sa sala.","After washing the dishes, she watched television in the living room.",Sequential Action Marker (*Kaibat*) + Actor Focus Past,,
241,Extended batch (201-300),Isanung sapatos ing gagamitan mu para king kasal king Sabado?,Aling sapatos ang gagamitin mo para sa kasal sa Sabado?,Which shoes will you wear for the wedding on Saturday?,Selective Interrogative (*Isanu*) + Future Purpose,,
242,Extended batch (201-300),Bisa kaming magpasalamat king sablang minabut tulong.,Nais naming magpasalamat sa lahat ng nag-abot ng tulong.,We would like to express our gratitude to everyone who extended help.,Desiderative Auxiliary (*Bisa kami*) + Actor Focus Participle,,
243,Extended batch (201-300),Ali mu ipagkalat ing secret a ipinagkatiwala ku keka.,Huwag mong ipagkalat ang lihim na ipinagkatiwala ko sa iyo.,Don't spread the secret that I entrusted to you.,Prohibitive Imperative + Relative Clause Complement,,
244,Extended batch (201-300),"Kabang magluto ya i Inda, mag-ayos naman ing lamesa i Tata.","Habang nagluluto si Nanay, nag-aayos naman ng hapag-kainan si Tatay.","While Mom is cooking, Dad is setting the dining table.",Simultaneous Temporal Clauses + Contrastive Marker (*naman*),,
245,Extended batch (201-300),E kami na nakapanood sine uling naubusan na ng tiket.,Hindi na kami nakapanood ng sine dahil naubusan na ng tiket.,We were no longer able to watch the movie because tickets ran out.,Cessative Negation (*E kami na*) + Causal Passive Cause,,
246,Extended batch (201-300),Atin kung ikit a asung gala a maglakad king arapan ning kekaming gate.,May nakita akong asong gala na naglalakad sa harap ng aming gate.,I saw a stray dog walking in front of our gate.,Existential Induction (*Atin kung ikit*) + Present Relative Modifier,,
247,Extended batch (201-300),"Nung bisitahan mu kami king Linggo, ipagluto daka ng paborito mung ulam.","Kung bibisitahin mo kami sa Linggo, ipagluluto kita ng paborito mong ulam.","If you visit us on Sunday, I will cook your favorite dish for you.",Future Condition + Benefactive Portmanteau (*ipagluto daka*),,
248,Extended batch (201-300),E tamu pwedeng balewalain ing payu ring kekatamung pengari.,Hindi natin pwedeng balewalain ang payo ng ating mga magulang.,We cannot ignore the advice of our parents.,Modal Negation (*E tamu pwedeng*) + Object Complement,,
249,Extended batch (201-300),Ing librung iniram ku king aklatan kailangang isubli bukas.,Ang librong hiram ko sa aklatan ay kailangang isauli bukas.,The book I borrowed from the library needs to be returned tomorrow.,Relative Clause + Deontic Necessity Predicate,,
250,Extended batch (201-300),"Bayu mayari ing banwa, nagplano silang maglakbay king aliwang bansa.","Bago matapos ang taon, nagplano silang maglakbay sa ibang bansa.","Before the year ends, they plan to travel abroad.",Temporal Limit Subordinator (*Bayu*) + Intentional Action,,
251,Extended batch (201-300),Sanay ne gumising nang maaga uling marayo ing kekang obran.,Sanay na siyang gumising nang maaga dahil malayo ang kanyang pinapasukan.,She is already used to waking up early because her workplace is far.,Habitual State (*Sanay ne*) + Causal Clause (*uling*),,
252,Extended batch (201-300),Obakit e me tinanggap ing aus ibat king bangko kanian abak?,Bakit hindi mo tinanggap ang tawag mula sa bangko kaninang umaga?,Why didn't you answer the call from the bank earlier this morning?,Interrogative Reason + Negative Portmanteau (*E me*),,
253,Extended batch (201-300),"Sa tuwing muran, magluto ya i Apu ng mapaling sopas para kekami.","Sa tuwing umuulan, nagluluto si Lola ng mainit na sopas para sa amin.","Whenever it rains, Grandma cooks hot soup for us.",Iterative Temporal Clause (*Sa tuwing*) + Benefactive Preposition,,
254,Extended batch (201-300),Ala nang natagung kakanan king lamesa uling mengan na ring sabla.,Wala nang natirang pagkain sa mesa dahil kumain na ang lahat.,There is no food left on the table because everyone has already eaten.,Negative Existential (*Ala nang*) + Completed Causality,,
255,Extended batch (201-300),"Agyang nanung kasakit ing pagsusulit, subukan ke pa rin ipasa.","Kahit gaano kahirap ang pagsusulit, susubukan ko pa ring ipasa ito.","No matter how difficult the exam is, I will still try to pass it.",Concessive Degree (*Agyang nanu*) + Volitional Future (*subukan ke*),,
256,Extended batch (201-300),Ipinasara ning kapitan ing dalan ba lang iwasan ring aksidente.,Ipinasara ng kapitan ang kalsada upang iwasan ang aksidente.,The captain ordered the road closed in order to prevent accidents.,Caused Action (*Ipinasara*) + Purpose Clause (*ba lang*),,
257,Extended batch (201-300),Mas bisa kung mininum tsaa kaysa magkape potang bengi.,Mas gusto kong uminom ng tsaa kaysa magkape kapag gabi.,I prefer drinking tea rather than drinking coffee at night.,Comparative Preference (*Mas bisa*) + Temporal Marker (*potang*),,
258,Extended batch (201-300),Ing lalaking mag-ayos sasakyan ya ing tata ning kakuluguran ku.,Ang lalaking nag-aayos ng sasakyan ay ang tatay ng aking kaibigan.,The man repairing the vehicle is my friend's father.,Relative Clause Subject Modifier + Equational Structure,,
