row_index,mt_id,granularity,source_text,target_text,prompt_family,score,category,note,tier
126,pldmt_1702a00c8b24,sentence,"Melaus ya ing matsing king cayang maroc a gawa cabang king tauli, e na tipdan ing cayang pangacu at inatsa ne ing pau king danum.","Tangi pa rito, ang mga punong saging ay madalas na binubunot ng mga tao, gaya ng ginawa ng pangunang mga tauhan ng ating kuwento, itinatanim nila at pinipitas ang mga bunga (o ang pusong nagbibigay ng mga bunga) sa loob ng tatlo o apat na araw.",Utt,1,same_domain_wrong_specific,"Long narrative sentence (fable register, monkey/banana content) vs Long FIL narrative sentence (different fable content); same literary/fable register, different specific content -- this FIL target sentence recurs at rows 131/134/135 against different PAM sources, evidence of a shuffled narrative block.",C_same_domain_wrong_specific
127,pldmt_6a71eb242c5c,sentence,"Metung yang maingat a pamaniuri at pamipareu ing mituru kecatamu ing tune nang buud ding aduang cuentu ibat sa king Mauli ning Sumatra, Java, Mindanao o nung ali man caya king capuluang Filipinas, at caibat dela de ding tau o liping linipat king bandang Pangulu ban manucnangan caring Pulu ning Japon at Riu-kiu.","May nagsabi sa akin nang ako'y nasa Hapon na ang pagong sa mga tao roon ay isang tanda ng kawalang-hanggan o kaya'y tanda ng isang bagay na kagalang-galang, banal, at iba pa, na maaaring may kinalaman ang kabihasnang Intsik.",Utt,1,same_domain_wrong_specific,"Fable-register narrative sentence vs different fable-register FIL sentence about turtle symbolism in Japan; same register, wrong specific content.",C_same_domain_wrong_specific
128,pldmt_c9a04473b126,sentence,"Ing panakit da king pau metung yang macalunus, malati at alang male a bage, dapot maingat king capamaralan, migit yang calunusan kesa hangaan o igalang caya.","""Ngunit ang alimango'y hindi maaaring umakyat sa punongkahoy."" ang pariralang ito ay magiging lalong tama sa pagong; sa aming paniwala, ang alimangong may sipit at mga paa ay maaaring umakyat na katulad ng matsing; madaling naaakyat ng alimango ang alin mang bato, moog, at iba pa.",Utt,1,same_domain_wrong_specific,"Fable-register narrative about a crab vs different FIL fable-register sentence about a crab climbing trees; same register/topic-adjacent, wrong specific content.",C_same_domain_wrong_specific
129,pldmt_d47c30badb09,sentence,"Ing matsing caring aduang pabulang deti ginanap yang metung a papil, sakim, magaspang, maroc at mapag-iganti; ing king Japong mitmung kaki ya ing pun saging king Filipinas, saguling tumubu at mamunga kesa caring aliuang pun dutung.","Ito'y isang magandang puno, may malalaki't luntiang dahon, at may mga ugat pang wari'y kabubuwal lamang pagkatapos ng bagyo.",Utt,1,same_domain_wrong_specific,"Fable-register narrative (monkey/crab roles) vs unrelated-specific FIL sentence about a beautiful tree; same literary register, wrong specific content.",C_same_domain_wrong_specific
130,pldmt_f35b46a021c6,sentence,Malagua yang tinubu ing butul anggang meging metung yang matas a pun dutung.,"Ang matsing sa dalawang pabulang ito'y gumaganap ng isang papel, masakim, magaspang, balakyot at mapaghiganti; ang sa Hapong puno ng kaki ay siyang punong saging sa Pilipinas, madaling tumubo at mamunga kaysa ibang mga punongkahoy.",Utt,1,same_domain_wrong_specific,"Narrative sentence about a plant/tree growing vs FIL sentence describing monkey/crab roles (looks like a shifted match to a different row in this block); same register, wrong specific alignment.",C_same_domain_wrong_specific
131,pldmt_92ddb8110523,sentence,"Nung ding matsing migit lang masican kesa caring alimangong magnasang capayapan, ing bage iti e macapanamuyut king ari a lungub king lungga a alang cayabe, anting e da neman pinilit ning lalung mas masican a calaban; dapot ing maliari munta la ding alimango caring matsing ban makipagcasundu.","Tangi pa rito, ang mga punong saging ay madalas na binubunot ng mga tao, gaya ng ginawa ng pangunang mga tauhan ng ating kuwento, itinatanim nila at pinipitas ang mga bunga (o ang pusong nagbibigay ng mga bunga) sa loob ng tatlo o apat na araw.",Utt,1,same_domain_wrong_specific,"Fable-register narrative sentence vs the same recurring FIL target seen at rows 126/134/135; same register, wrong specific content, evidence of shuffled block.",C_same_domain_wrong_specific
132,pldmt_8b49a52bd72e,sentence,"Ing pamanyaup nang lusung, alu, bonbuan at ning ebun caring mimumuang alimango magpatune kecatamung malayang caisipan ding Japon.","Ang matsing sa dalawang pabulang ito'y gumaganap ng isang papel, masakim, magaspang, balakyot at mapaghiganti; ang sa Hapong puno ng kaki ay siyang punong saging sa Pilipinas, madaling tumubo at mamunga kaysa ibang mga punongkahoy.",Utt,1,same_domain_wrong_specific,"Fable-register narrative sentence vs FIL sentence about monkey/crab roles (also seen at row 130); same register, wrong specific alignment.",C_same_domain_wrong_specific
133,pldmt_b5383dd39b70,sentence,Miras ya king mainang pau ing bandang ilalam a king lawe matsura ya dapot magtagle nemang dacal a uyat.,"Sa kuwentong Pilipino, ang paghihiganti ng pagong kahit na may kaunting kamulalaan ay nagpapakilala ng una't pambihirang pamamaraan, ""may matutulis na susó"", samantalang sa kuwentong Hapon ay may bakas ng lalong maunlad na kalagayan ng kapisanan, gaya ng digmaan ng mga alimango at mga matsing.",Utt,1,same_domain_wrong_specific,"Fable-register narrative about a crab's revenge vs FIL sentence contrasting Philippine and Japanese story traditions; same register, wrong specific content.",C_same_domain_wrong_specific
134,pldmt_4b5e8057c84a,sentence,"E apaglinlangan sabian a ding aduang pabulang deti, agiang miyaliua la sepu atin lang metung a penibatan, o nung caya ating yang pamicatmu ing metung king metung.","Tangi pa rito, ang mga punong saging ay madalas na binubunot ng mga tao, gaya ng ginawa ng pangunang mga tauhan ng ating kuwento, itinatanim nila at pinipitas ang mga bunga (o ang pusong nagbibigay ng mga bunga) sa loob ng tatlo o apat na araw.",Utt,1,same_domain_wrong_specific,"Fable-register narrative sentence vs the same recurring FIL target seen at rows 126/131/135; same register, wrong specific content, evidence of shuffled block.",C_same_domain_wrong_specific
135,pldmt_af6f5eff89a8,sentence,"Ing panakit da king pau metung yang macalunus, malati at alang male a bage, dapot maingat king capamaralan, migit yang calunusan kesa hangaan o igalang caya.","May nagsabi sa akin nang ako'y nasa Hapon na ang pagong sa mga tao roon ay isang tanda ng kawalang-hanggan o kaya'y tanda ng isang bagay na kagalang-galang, banal, at iba pa, na maaaring may kinalaman ang kabihasnang Intsik.",Utt,1,same_domain_wrong_specific,"Fable-register narrative sentence (turtle characterization) vs FIL sentence about turtle symbolism in Japan (also seen at row 127); same register, wrong specific alignment.",C_same_domain_wrong_specific
136,pldmt_4d5c20ad3b81,sentence,"Samantala, magcasia tana pa king metung a pamaniuri at pamamunie mapilang casian manibat king metung a masusing pamipareu ding aduang cuentu.","Ang katotohanang, ang kuwentong ito ay alam kahit saan mang dako ng Pilipinas; sa bawat pulo, lalawigan, at nayon, ay nagpapakilalang ito'y minana sa isang naglahong kabihasnang karaniwan sa mga lahing nanirahan nang panahong iyon.",Utt,1,same_domain_wrong_specific,"Fable-register meta-commentary sentence vs FIL sentence about the story's wide circulation in the Philippines; same register, wrong specific content.",C_same_domain_wrong_specific
137,pldmt_f9798760161b,sentence,"""Mayap, atme cayapan!"" ing pakibat ning pau. "" E cu mu pin miukyat king pun at macapanagtal caring cayang bunga.""","Ang tingin nila sa pagong ay isang kaawa-awa, maliit at walang malay na bagay, ngunit maingat sa pamamaraan, higit na kinaaawaan kaysa hangaan o igalang kaya.",Utt,1,same_domain_wrong_specific,"Fable-register dialogue sentence (turtle's reply) vs FIL sentence describing sympathetic characterization of the turtle; same register, related content, wrong specific alignment.",C_same_domain_wrong_specific
138,pldmt_cec7e7510625,sentence,Mayalang galang na po.,Ipagpaumanhin po ninyo ang aking pagkakamali.,Utt,0,no_correspondence,Mayalang galang na po=very respectfully now (polite closing) vs Ipagpaumanhin po ninyo ang aking pagkakamali=please forgive my mistake; different speech act.,D_no_correspondence
139,pldmt_2bda4b86d598,sentence,Catutula cu pu ing akilala da cayu.,Tanggapin po ninyo ang aming taós pusong pasasalamat!,Utt,1,same_domain_wrong_specific,"Catutula cu pu ing akilala da cayu=delighted to have met you vs Tanggapin po ninyo ang aming taos pusong pasasalamat!=please accept our heartfelt thanks; both polite formulaic expressions, wrong specific.",C_same_domain_wrong_specific
140,pldmt_3aa2c70f8bcd,sentence,Tanggapan ye pu ing kecaming taus pusung pamipasalamat!,Magandang araw sa iyo.,Utt,1,same_domain_wrong_specific,"Tanggapan ye pu ing kecaming taus pusung pamipasalamat!=please accept our heartfelt thanks vs Magandang araw sa iyo=good day to you; both polite formulaic expressions, wrong specific -- the correct target for this exact source text appears at rows 151/153.",C_same_domain_wrong_specific
141,pldmt_7ed1cccb2850,sentence,Mapaling pamamuge keco ngan.,Ipagpaumanhin po ninyo ang aking pagkakamali.,Utt,0,no_correspondence,Mapaling pamamuge keco ngan (uncertain gloss) vs Ipagpaumanhin po ninyo ang aking pagkakamali=please forgive my mistake; no clear correspondence identified.,D_no_correspondence
142,pldmt_5d7025845357,sentence,Maligayang Pascu pu at masaplalang bayung banua.,Ipagpaumanhin po ninyo ang aking pagkakamali.,Utt,0,no_correspondence,Maligayang Pascu pu at masaplalang bayung banua=Merry Christmas and prosperous new year vs Ipagpaumanhin po ninyo ang aking pagkakamali=please forgive my mistake; different speech act -- the correct target for this exact source text appears at row 149.,D_no_correspondence
143,pldmt_3f320259ad37,sentence,Maligayang Pascu pu at masaplalang bayung banua.,Tanggapin po ninyo ang aming taós pusong pasasalamat!,Utt,1,same_domain_wrong_specific,"Maligayang Pascu pu at masaplalang bayung banua=Merry Christmas... vs Tanggapin po ninyo ang aming taos pusong pasasalamat!=please accept our heartfelt thanks; both festive/polite formulaic expressions, wrong specific.",C_same_domain_wrong_specific
144,pldmt_6e0fc2a3eb61,phrase,Mayap naman pu.,Isang taós pusong pasasalamat!,Utt,1,same_domain_wrong_specific,"Mayap naman pu=I'm fine, thank you vs Isang taos pusong pasasalamat!=a heartfelt thank you; both polite formulaic expressions, wrong specific.",C_same_domain_wrong_specific
145,pldmt_b467e2e40139,sentence,Maligayang puge king kecang kebaitan.,Maligayang Pasko po at manígong bagong taon.,Utt,2,plausible_partial_match,"Maligayang puge king kecang kebaitan (occasion-greeting formula) vs Maligayang Pasko po at manigong bagong taon=Merry Christmas and Happy New Year; same ""Maligayang X"" greeting-formula structure, uncertain exact occasion match.",B_plausible_partial_match
146,pldmt_0acdd29baf13,sentence,Anga keng pasibayung pamiikit.,Tanggapin mo ang aking pakikiramay.,Utt,1,same_domain_wrong_specific,"Anga keng pasibayung pamiikit (uncertain, possibly condolence-adjacent) vs Tanggapin mo ang aking pakikiramay=accept my condolences; plausibly same domain, low-confidence match.",C_same_domain_wrong_specific
147,pldmt_3a855207858f,sentence,Catutula cu pu ing akilala da cayu.,Maligayang bati sa iyong pagtatapos.,Utt,1,same_domain_wrong_specific,"Catutula cu pu ing akilala da cayu=delighted to have met you vs Maligayang bati sa iyong pagtatapos=congratulations on your graduation; both polite formulaic expressions, wrong specific.",C_same_domain_wrong_specific
148,pldmt_c84f01c8ea06,sentence,Ipagpaumahin yu pu ing cacung pamagcamali.,Ikinagagalak ko po kayong makilala.,Utt,0,no_correspondence,Ipagpaumahin yu pu ing cacung pamagcamali=please forgive my mistake vs Ikinagagalak ko po kayong makilala=pleased to meet you; different speech act.,D_no_correspondence
149,pldmt_b416078863a7,sentence,Maligayang Pascu at masaplalang bayung banua.,Maligayang Pasko po at manígong bagong taon.,Utt,3,correct_translation,Maligayang Pascu at masaplalang bayung banua = Maligayang Pasko po at manigong bagong taon; correct Merry-Christmas-and-prosperous-new-year translation.,A_correct_translation
150,pldmt_ab685eb40288,sentence,Tanggapan ye pu ing cacung pamakirame.,Maligayang Pasko at manígong bagong taon.,Utt,0,no_correspondence,"Tanggapan ye pu ing cacung pamakirame=please accept my condolences vs Maligayang Pasko at manigong bagong taon=Merry Christmas and Happy New Year; opposite tone (condolence vs celebratory), wrong pairing.",D_no_correspondence
151,pldmt_75a2cd9764f4,sentence,Tanggapan ye pu ing kecaming taus pusung pamipasalamat!,Tanggapin po ninyo ang aming taós pusong pasasalamat!,Utt,3,correct_translation,Tanggapan ye pu ing kecaming taus pusung pamipasalamat! = Tanggapin po ninyo ang aming taos pusong pasasalamat!; exact heartfelt-thanks translation.,A_correct_translation
152,pldmt_587f5fed1785,sentence,Maligayang puge king kecang pamamupus.,Maligayang Pasko po at manígong bagong taon.,Utt,1,same_domain_wrong_specific,"Maligayang puge king kecang pamamupus (occasion greeting, possibly graduation) vs Maligayang Pasko po at manigong bagong taon=Merry Christmas; same ""Maligayang X"" formula, wrong specific occasion.",C_same_domain_wrong_specific
153,pldmt_dc3e20690d5e,sentence,Tanggapan ye pu ing kecaming taus pusung pamipasalamat!,Tanggapin po ninyo ang aming taós pusong pasasalamat!,Utt,3,correct_translation,Tanggapan ye pu ing kecaming taus pusung pamipasalamat! = Tanggapin po ninyo ang aming taos pusong pasasalamat!; exact heartfelt-thanks translation (duplicate of row 151's correct pairing).,A_correct_translation
154,pldmt_9d4fefdb6348,sentence,"I Micahel wari ing magcanta, o i James?","Gusto mo bang sumáma, o hindi?",Utt,1,same_domain_wrong_specific,"I Micahel wari ing magcanta, o i James?=is it Michael who sings, or James? vs Gusto mo bang sumama, o hindi?=do you want to come along, or not?; both X-or-Y alternative questions, wrong specific content.",C_same_domain_wrong_specific
155,pldmt_b3746d1f51f2,sentence,Mawawala wari ing gamit na?,Nawawala ba ang gamit niya?,Utt,3,correct_translation,Mawawala wari ing gamit na? = Nawawala ba ang gamit niya?; matching yes/no question about a lost belonging.,A_correct_translation
156,pldmt_a1390e949d65,sentence,"Tigtig ya wari i Francisco, o magcanta?",Paano niya nahanap ang gamit ni James?,Utt,0,no_correspondence,"Tigtig ya wari i Francisco, o magcanta?=will Francisco play or sing? vs Paano niya nahanap ang gamit ni James?=how did he find James's things?; different question content -- the true match for this FIL target appears to be row 159's source text (see note there).",D_no_correspondence
157,pldmt_20ffe484ba11,sentence,"Munta ca wari king Menila, o king Baguiu?",Sinu-sino ang nagdala ng pagkain?,Utt,0,no_correspondence,"Munta ca wari king Menila, o king Baguiu?=will you go to Manila or Baguio? vs Sinu-sino ang nagdala ng pagkain?=who brought the food?; different question content.",D_no_correspondence
158,pldmt_999c11e6bb9a,sentence,"Filipinu ya wari I James, o Americanu?","Hindi siya kumain, 'no?",Utt,0,no_correspondence,"Filipinu ya wari I James, o Americanu?=is James Filipino or American? vs Hindi siya kumain, 'no?=he/she didn't eat, right?; different question content.",D_no_correspondence
159,pldmt_667dda570365,sentence,Macananu nang ikit ing gamit nang James?,Bibili ba siya ng pagkain?,Utt,0,no_correspondence,"Macananu nang ikit ing gamit nang James?=how did he find James's things? vs Bibili ba siya ng pagkain?=will he/she buy food?; different question content -- this source text is itself the likely correct match for the FIL target seen (wrongly) at rows 156 and 163, evidence of a shifted question block.",D_no_correspondence
160,pldmt_dcc97b53607a,sentence,Nucarin ya ing seli cung lapis nandin?,Nakanino ang susi ng bahay?,Utt,0,no_correspondence,"USER-CORRECTED (2026-08-25): PAM seli=bought (verb, from root sali, not ""susi""/key) and lapis=pencil, so the sentence means ""Where is the pencil I bought earlier?"" -- unrelated to FIL ""Nakanino ang susi ng bahay?"" (whose house key is it?). Originally mis-scored 2/plausible_partial_match on a misreading of seli as a ""key"" cognate.",D_no_correspondence
161,pldmt_a44e1f677ba8,phrase,Pilang banua na ca?,Tutugtog ba si Francisco?,Utt,0,no_correspondence,Pilang banua na ca?=how many years old are you? vs Tutugtog ba si Francisco?=will Francisco play [music]?; different content.,D_no_correspondence
162,pldmt_4d494b26a75e,sentence,Obat dela de king ospital I Maricel?,Kailan magkikita sa bahay sina Ronald?,Utt,0,no_correspondence,Obat dela de king ospital I Maricel?=why did they bring Maricel to the hospital? vs Kailan magkikita sa bahay sina Ronald?=when will Ronald and the others meet at the house?; different content.,D_no_correspondence
163,pldmt_0fb9578d4b54,sentence,I Michael wari ing mengan king mangga?,Paano niya nahanap ang gamit ni James?,Utt,0,no_correspondence,I Michael wari ing mengan king mangga?=will Michael eat the mango? vs Paano niya nahanap ang gamit ni James?=how did he find James's things?; different content -- see row 159's note for this FIL target's likely true source.,D_no_correspondence
164,pldmt_da15265fdbc3,sentence,Macananu casakit ing exam yu?,Mabait ba siya?,Utt,0,no_correspondence,Macananu casakit ing exam yu?=how hard was your exam? vs Mabait ba siya?=is he/she kind?; different content.,D_no_correspondence
165,pldmt_49ed11a8f482,sentence,Nanu ing gagawan ng Michael king bale?,"Tutugtog ba si Francisco, o kakanta?",Utt,0,no_correspondence,"Nanu ing gagawan ng Michael king bale?=what will Michael do at home? vs Tutugtog ba si Francisco, o kakanta?=will Francisco play or sing?; different content.",D_no_correspondence
166,pldmt_3f2d2a80f83d,sentence,"Bisa ca waring tuke, o ali?","Tutugtog si Francisco, 'di ba?",Utt,0,no_correspondence,"Bisa ca waring tuke, o ali?=do you want to [verb], or not? vs Tutugtog si Francisco, 'di ba?=Francisco will play, right?; different content.",D_no_correspondence
167,pldmt_a8844d5f57db,sentence,King bale la wari mikit di James?,"Tutugtog si Francisco, 'di ba?",Utt,0,no_correspondence,"King bale la wari mikit di James?=are James and the others at home? vs Tutugtog si Francisco, 'di ba?=Francisco will play, right?; different content.",D_no_correspondence
168,pldmt_74d7fd205d34,sentence,Nanu ing gagawan ng Michael king bale?,"Gusto mo bang kumain, o magpahinga?",Utt,0,no_correspondence,"Nanu ing gagawan ng Michael king bale?=what will Michael do at home? vs Gusto mo bang kumain, o magpahinga?=do you want to eat, or rest?; different content.",D_no_correspondence
169,pldmt_15b833934d67,sentence,"Ala nune purus catacsilan ing ganti king kecatamung pamagpala at pamanupad king carelang pengacung itamu lalung gisingan king cayapan bagus itamung bilagan da, inawa daca tamu king carelang amac a asal, pinilit a sinira ing mal at malagung ugali ning kecatamung Bal’yan; iminulat da catamu king metung a maling pamaniampalataya at bigsac king lubac ning carocan ing capurian ning kecatamung bal’yan; at nung itamu mangangas maniad agiang ditac a lingap, ing maging pakibat ya ing iyugse at ilaut king siping ding kecatamung pacamalan a anac, asaua at matuang pengari.",Ngayon panahon nang dapat simulan ang pagsisiwalat ng mga mahal at dakilang ani na magwawasak sa masinsing tabing na bumubulag sa ating kaisipan; panahon na ngayong dapat makilala ng mga Tagalog ang pinagbuhatan ng kanilang mga kahirapan.,Utt,1,same_domain_wrong_specific,"Long historical/patriotic-register sentence vs different historical/patriotic-register FIL sentence; same genre/register, wrong specific content -- part of a block (169-173) with a recurring long PAM source paired against multiple different FIL targets.",C_same_domain_wrong_specific
170,pldmt_b343ac73a8e5,sentence,"Ngeni ala nang aituring a capanatagan king kecatamung pamanucnangan; ngeni pane da nang gagambalan ing kecatamung catahimican ning mamalingongo a daing at tagulele, saldac pangisnaua at pagsalbat ding macapal a mengulila, balu’t ding pengari ding cabaleng pemanyira ding mapanyupil a Castila; ngeni malulumud tamu king mamalbug a lua ding Indu caring meyangu da bie anac, caring pamanangis ding bingut a pepangulila ning calupitan a ing balang patac calupa na ning metung a bubucal a tingga, a sasala king makirut a sugat ning kecatamung pusung manamdaman; ngeni lalu tamung macabilibid king tanicalang macapaglibac caring balang lalaking ating ingatang capurian.","Panahon na ngayong dapat na lumitaw ang liwanag ng katotohanan; panahon nang dapat nating ipakilala na tayo'y may sariling pagdaramdam, may puri, may hiya at pagdadamayan.",Utt,1,same_domain_wrong_specific,"Long historical/patriotic-register sentence vs different historical/patriotic-register FIL sentence; same genre, wrong specific content.",C_same_domain_wrong_specific
171,pldmt_15d93752da78,sentence,"Ngeni ala nang aituring a capanatagan king kecatamung pamanucnangan; ngeni pane da nang gagambalan ing kecatamung catahimican ning mamalingongo a daing at tagulele, saldac pangisnaua at pagsalbat ding macapal a mengulila, balu’t ding pengari ding cabaleng pemanyira ding mapanyupil a Castila; ngeni malulumud tamu king mamalbug a lua ding Indu caring meyangu da bie anac, caring pamanangis ding bingut a pepangulila ning calupitan a ing balang patac calupa na ning metung a bubucal a tingga, a sasala king makirut a sugat ning kecatamung pusung manamdaman; ngeni lalu tamung macabilibid king tanicalang macapaglibac caring balang lalaking ating ingatang capurian.","Itinuturo na katuwiran ang tayo'y magkaisang-loob, magkaisang isip at akala at nang tayo'y magkaisa na maihanap ng lunas ang naghaharing kasamaan sa ating Bayan.",Utt,1,same_domain_wrong_specific,"Same long historical-register PAM source as row 170/173 vs a third different FIL target; same genre, wrong specific content, evidence of a shuffled block.",C_same_domain_wrong_specific
172,pldmt_c246aadda9dd,sentence,"King mayap dang amuyut a ngara canu, acayan da catamu king lalung cayapan at lalung imulat ding kecatamung caisipan, ing miniabing magsipanibala miliaring melamukus king yumu ning carelang dila king pamaglinlang.",Ngayon panahon nang dapat simulan ang pagsisiwalat ng mga mahal at dakilang ani na magwawasak sa masinsing tabing na bumubulag sa ating kaisipan; panahon na ngayong dapat makilala ng mga Tagalog ang pinagbuhatan ng kanilang mga kahirapan.,Utt,1,same_domain_wrong_specific,"Historical/patriotic-register sentence vs FIL sentence resembling row 169's target; same genre, wrong specific content.",C_same_domain_wrong_specific
173,pldmt_20e8a05047b5,sentence,"Ngeni ala nang aituring a capanatagan king kecatamung pamanucnangan; ngeni pane da nang gagambalan ing kecatamung catahimican ning mamalingongo a daing at tagulele, saldac pangisnaua at pagsalbat ding macapal a mengulila, balu’t ding pengari ding cabaleng pemanyira ding mapanyupil a Castila; ngeni malulumud tamu king mamalbug a lua ding Indu caring meyangu da bie anac, caring pamanangis ding bingut a pepangulila ning calupitan a ing balang patac calupa na ning metung a bubucal a tingga, a sasala king makirut a sugat ning kecatamung pusung manamdaman; ngeni lalu tamung macabilibid king tanicalang macapaglibac caring balang lalaking ating ingatang capurian.",at yao'y inihalo't ininom nila kapwa tanda ng tunay at lubos na pagtatapat na di magtataksil sa pinagkayarian.,Utt,1,same_domain_wrong_specific,"Same long historical-register PAM source as row 170/171 vs a fourth different FIL target; same genre, wrong specific content, evidence of a shuffled block.",C_same_domain_wrong_specific
174,pldmt_7093c4aa8680,sentence,Posible ya pung lala nung e ya maagapan?,Pangalawang beses na siyang inatake sa puso.,Utt,1,same_domain_wrong_specific,"Posible ya pung lala nung e ya maagapan?=could it worsen if untreated? vs Pangalawang beses na siyang inatake sa puso=this is his second heart attack; same medical domain, wrong specific.",C_same_domain_wrong_specific
175,pldmt_3469a91ceead,sentence,Atin ca waring inumang panulu ngene?,Hindi siya makahinga ng ayos,Utt,1,same_domain_wrong_specific,"Atin ca waring inumang panulu ngene?=have you taken your medicine? vs Hindi siya makahinga ng ayos=he/she can't breathe properly; same medical domain, wrong specific.",C_same_domain_wrong_specific
176,pldmt_9a86ddef70c2,sentence,Macaroc keng calusugan ing sobrang pamaninum alac,Hindi po umeepekto ang gamot,Utt,1,same_domain_wrong_specific,"Macaroc keng calusugan ing sobrang pamaninum alac=excessive drinking harms health vs Hindi po umeepekto ang gamot=the medicine isn't working; same medical domain, wrong specific.",C_same_domain_wrong_specific
177,pldmt_63d8752c2093,sentence,Atin ca waring cakilala king pamilya mu a ating macanyan mu namang saket?,Isang linggo na po akong inuubo,Utt,1,same_domain_wrong_specific,"Atin ca waring cakilala king pamilya mu a ating macanyan mu namang saket?=do you know a relative with the same illness? vs Isang linggo na po akong inuubo=I've been coughing for a week; same medical domain, wrong specific.",C_same_domain_wrong_specific
178,pldmt_d494bd8bdfb8,sentence,Ala yang ganang mangan.,Nasa dugo niyo ba yung ganyang sakit?,Utt,1,same_domain_wrong_specific,"Ala yang ganang mangan=he/she has no appetite vs Nasa dugo niyo ba yung ganyang sakit?=is that illness in your blood?; same medical domain, wrong specific.",C_same_domain_wrong_specific
179,pldmt_5d4d6be59693,sentence,Pilang bulan ne pu ing bingut?,May kakilala ka ba sa pamilya mo na may ganyang sakit din?,Utt,1,same_domain_wrong_specific,"Pilang bulan ne pu ing bingut?=how many months has the cough been? vs May kakilala ka ba sa pamilya mo na may ganyang sakit din?=do you know a relative with that illness?; same medical domain, wrong specific.",C_same_domain_wrong_specific
180,pldmt_24aac7c33e4f,sentence,Atin ca waring camaganac a ating capareung saket?,May kakilala ka ba sa pamilya mo na may ganyang sakit din?,Utt,3,correct_translation,"Atin ca waring camaganac a ating capareung saket? = May kakilala ka ba sa pamilya mo na may ganyang sakit din?; matching ""do you know a relative with a similar illness"" question.",A_correct_translation
181,pldmt_153e25f9f462,sentence,Magcasakit ya pung macmul,Inumin mo itong gamot tatlong beses sa isang araw,Utt,1,same_domain_wrong_specific,"Magcasakit ya pung macmul (uncertain gloss) vs Inumin mo itong gamot tatlong beses sa isang araw=take this medicine three times a day; same medical-instruction domain, wrong specific.",C_same_domain_wrong_specific
182,pldmt_a48f2fb09035,sentence,Mayap a gatpanapun pu Doctor,May asthma po ako,Utt,1,same_domain_wrong_specific,"Mayap a gatpanapun pu Doctor=good afternoon, Doctor vs May asthma po ako=I have asthma; same medical-visit context, wrong specific (greeting vs statement).",C_same_domain_wrong_specific
183,pldmt_ba5b2ee88fdd,sentence,Tacpan me ing kailing mata mu at basan ding letra king dingding,May kakilala ka ba sa pamilya mo na may ganyang sakit din?,Utt,0,no_correspondence,Tacpan me ing kailing mata mu at basan ding letra king dingding=cover one eye and read the wall chart (eye exam instruction) vs May kakilala ka ba sa pamilya mo na may ganyang sakit din?=do you know a relative with a similar illness?; different content.,D_no_correspondence
184,pldmt_8123b2b9fa73,sentence,Atin ca waring cakilala king pamilya mu a ating macanyan mu namang saket?,Di po ako tumataba kahit anong gawin kong kain,Utt,0,no_correspondence,Atin ca waring cakilala king pamilya mu a ating macanyan mu namang saket?=do you know a relative with the same illness? vs Di po ako tumataba kahit anong gawin kong kain=I don't gain weight no matter what I eat; different content -- the correct match for this FIL target appears to be row 186's source text.,D_no_correspondence
185,pldmt_e158d7db0352,phrase,Mayap a gatpanapun Doc,Magandang gabi ho Dok,Utt,2,plausible_partial_match,"Mayap a gatpanapun Doc=good afternoon, Doc vs Magandang gabi ho Dok=good evening, Doc; same greeting-to-doctor formula, wrong time-of-day.",B_plausible_partial_match
186,pldmt_86846b4cb32d,sentence,E cu pu tataba agyang nanung gawan cung mangan,Wala siyang ganang kumain,Utt,1,same_domain_wrong_specific,"E cu pu tataba agyang nanung gawan cung mangan=I don't gain weight no matter what I eat vs Wala siyang ganang kumain=he/she has no appetite; same eating/appetite domain, wrong specific -- this source text is the likely correct match for the FIL target seen (wrongly) at row 184.",C_same_domain_wrong_specific
187,pldmt_fbf7c9cdebbd,sentence,Magcasakit cu pung pigilan ing pamani cu,Ano ba ang mabisang gamot diyan?,Utt,1,same_domain_wrong_specific,"Magcasakit cu pung pigilan ing pamani cu (uncertain, possibly breathing-related) vs Ano ba ang mabisang gamot diyan?=what's an effective medicine for that?; same medical domain, wrong specific.",C_same_domain_wrong_specific
188,pldmt_b6e25ebeb11e,sentence,Atiu king daya yu wari ing macaniang saket?,Magandang umaga po Doktor,Utt,0,no_correspondence,"Atiu king daya yu wari ing macaniang saket?=is that illness in your bloodline? vs Magandang umaga po Doktor=good morning, Doctor; different speech act.",D_no_correspondence
189,pldmt_a0916ef37f9a,sentence,Atiu king daya yu wari ing macaniang saket?,Nahihirapan ka bang huminga?,Utt,1,same_domain_wrong_specific,"Atiu king daya yu wari ing macaniang saket?=is that illness in your bloodline? vs Nahihirapan ka bang huminga?=are you having difficulty breathing?; same medical domain, wrong specific.",C_same_domain_wrong_specific
190,pldmt_96981b388044,sentence,Posible ya pung lala nung e ya maagapan?,Ano po ang gamot sa singaw ng bata?,Utt,1,same_domain_wrong_specific,"Posible ya pung lala nung e ya maagapan?=could it worsen if untreated? vs Ano po ang gamot sa singaw ng bata?=what's the medicine for the child's mouth sores?; same medical domain, wrong specific.",C_same_domain_wrong_specific
191,pldmt_f2a7b4ef593b,sentence,Sabian mu nung nucarin masakit,Gaano katagal na siyang nilalagnat?,Utt,1,same_domain_wrong_specific,"Sabian mu nung nucarin masakit=tell me where it hurts vs Gaano katagal na siyang nilalagnat?=how long has he/she had a fever?; same medical Q&A domain, wrong specific.",C_same_domain_wrong_specific
